MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
10340,69,97,PI,LAGOA DO BARRO DO PIAUÍ,1198,1053924,2A142FF9,20220926T185700,068247461838284154456986,20221002T080001,20221002T200945,392,325,302,8
10359,28,177,PI,BOCAINA,1112,1181660,996070B8,20220921T164900,703872059148303698270185,20221002T080001,20221002T192408,385,341,295,38
10375,15,96,PI,BOM JESUS,1198,1801410,820F17F7,20220927T153000,187280473175499370463223,20221002T080001,20221002T183205,350,302,261,23
10383,19,107,PI,PATOS DO PIAUÍ,1031,1333518,C0907219,20220927T100400,095615951773866148277282,20221002T080001,20221002T185617,382,312,259,37
10391,33,59,PI,BURITI DOS LOPES,1295,1613742,C3425B14,20220927T125100,408094744018634791949160,20221002T080001,20221002T195230,417,356,289,50
10413,90,100,PI,CAMPINAS DO PIAUÍ,1058,1050567,B0D58CB7,20220923T093000,563319658463889680952949,20221002T080001,20221002T185143,344,292,259,12
10413,90,103,PI,CAMPINAS DO PIAUÍ,1074,1052957,10532430,20220923T083600,209783628378834408421747,20221002T080001,20221002T193704,350,283,258,11
10413,90,107,PI,CAMPINAS DO PIAUÍ,1090,1050147,10532430,20220923T085000,290692150787689002115985,20221002T080001,20221002T192437,353,279,256,12
10421,38,54,PI,QUEIMADA NOVA,1040,1325441,0C816724,20220921T141200,805089595816423339881615,20221002T080001,20221002T202704,382,334,259,47
10421,38,95,PI,QUEIMADA NOVA,1015,1331080,0C816724,20220921T150900,704079883006837898473517,20221002T080001,20221002T205700,362,322,260,46
10430,7,144,PI,CAMPO MAIOR,1490,2195274,0F87B78B,20220923T141300,552732365158426103503362,20221002T080147,20221002T203143,412,354,286,28
10430,96,100,PI,CAMPO MAIOR,1325,2197610,CF332C7C,20220927T101600,643693730472641837509237,20221002T080001,20221002T193551,388,308,280,10
10430,96,70,PI,CAMPO MAIOR,1252,2196136,CF332C7C,20220927T092800,946623436602092974633394,20221002T080001,20221002T202043,390,305,264,25
10456,36,100,PI,CANTO DO BURITI,1317,1800802,FE0AE457,20220927T190500,307817396903135858273550,20221002T080001,20221002T185544,402,314,269,28
10472,71,24,PI,CAPITÃO DE CAMPOS,1147,2035472,3C66DC60,20220922T115100,730733319289404579754576,20221002T080001,20221002T190348,420,319,256,26
10472,71,27,PI,CAPITÃO DE CAMPOS,1163,2035287,3C66DC60,20220922T120200,659925562681052651835928,20221002T080001,20221002T191227,394,330,269,30
10472,71,30,PI,CAPITÃO DE CAMPOS,1040,2035546,3C66DC60,20220922T121600,255985465441026827099313,20221002T080001,20221002T191433,397,297,265,24
10472,71,8,PI,CAPITÃO DE CAMPOS,1058,2217436,9E5F5D50,20220922T122900,912551791207987407450974,20221002T080001,20221002T194947,438,341,252,40
10480,62,157,PI,SANTANA DO PIAUÍ,1058,1180876,81C4F45B,20220926T124700,891653108031363524379466,20221002T080001,20221002T213601,389,323,266,27
10480,62,165,PI,SANTANA DO PIAUÍ,1015,1127843,81C4F45B,20220926T125300,123976184054404789722160,20221002T080001,20221002T191953,401,306,257,32
10480,62,69,PI,SANTANA DO PIAUÍ,1023,1060592,CBABA7AD,20220926T124700,144178554102619934926593,20221002T080001,20221002T201422,388,347,283,47
10499,79,1,PI,CARACOL,1015,1800055,F3109937,20220927T130200,436291540882390643032470,20221002T080001,20221002T201945,436,339,255,48
10499,79,10,PI,CARACOL,1031,1802113,F3109937,20220927T133700,597807668798177485651893,20221002T080001,20221002T200738,447,362,256,75
10499,79,12,PI,CARACOL,1031,1800575,F3109937,20220927T134400,385786676077848748949090,20221002T080001,20221002T210422,445,350,255,65
10499,79,3,PI,CARACOL,1015,1778529,F3109937,20220927T130900,820130152721275710716874,20221002T080001,20221002T202629,430,347,287,38
10499,79,30,PI,CARACOL,1120,1800685,F3109937,20220927T145100,688716890807138340727459,20221002T080001,20221002T214740,438,345,307,17
10499,79,31,PI,CARACOL,1112,1753293,F3109937,20220927T150000,375685691776413190572112,20221002T080001,20221002T215007,345,305,273,22
10499,79,5,PI,CARACOL,1015,1801200,F3109937,20220927T131600,284776831667618921089819,20221002T080001,20221002T204709,431,356,260,65
10499,79,8,PI,CARACOL,1031,1799496,F3109937,20220927T133000,395887275878484459893436,20221002T080159,20221002T194905,440,348,256,64
10502,95,44,PI,SÃO BRAZ DO PIAUÍ,1015,1800313,3634EFDB,20220928T142800,380256106263146223429176,20221002T080001,20221002T195724,399,353,312,27
10510,34,75,PI,CASTELO DO PIAUÍ,1333,1606989,347CAA52,20220921T202800,985563023581745980212529,20221002T080604,20221002T195859,409,323,286,19
10537,53,91,PI,COCAL,1422,1608394,5BADD320,20220927T112000,650733394492433277303884,20221002T080001,20221002T172130,338,297,262,25
10545,7,140,PI,SIGEFREDO PACHECO,1058,2205988,C3B2F2D3,20220923T154700,104587471087638516231600,20221002T080001,20221002T201746,430,372,310,46
10545,7,159,PI,SIGEFREDO PACHECO,1066,2195074,C3B2F2D3,20220923T164200,165193599893458344629356,20221002T080001,20221002T185314,347,315,263,31
10561,13,253,PI,SÃO LOURENÇO DO PIAUÍ,1155,1801082,8CF1E6F6,20220929T193700,436483292342853999324640,20221002T080001,20221002T170254,334,290,253,20
10561,13,91,PI,SÃO LOURENÇO DO PIAUÍ,1023,1800514,8CF1E6F6,20220929T180000,305170047729858076405407,20221002T080001,20221002T192700,382,319,265,23
10570,22,60,PI,CORRENTE,1147,1801609,AE1E057A,20220927T093100,335669753032089015619774,20221002T080001,20221002T192429,410,319,270,25
10570,22,79,PI,CORRENTE,1147,1800858,E7835047,20220927T081600,769912242434575647347137,20221002T080001,20221002T190825,415,317,257,39
10588,95,129,PI,VÁRZEA BRANCA,1082,1800554,6DD3A194,20220928T180900,061224289745159922770468,20221002T080001,20221002T210459,353,284,260,9
10588,95,55,PI,VÁRZEA BRANCA,1023,1800007,6DD3A194,20220928T165400,515769417990487568446366,20221002T080001,20221002T205449,400,337,289,24
10588,95,59,PI,VÁRZEA BRANCA,1031,1801622,6DD3A194,20220928T171700,121830466851055847589551,20221002T080001,20221002T181449,388,310,253,27
10596,22,105,PI,CRISTALÂNDIA DO PIAUÍ,1015,1800442,FE8783C1,20220927T091000,302966948588802044800443,20221002T080001,20221002T204851,414,323,254,50
10626,37,51,PI,BELA VISTA DO PIAUÍ,1015,1036642,23658663,20220927T122500,497847954902732777466574,20221002T080001,20221002T220510,370,334,262,30
10642,36,32,PI,BREJO DO PIAUÍ,1023,1801580,CB2FB0AC,20220927T152300,365123793363795818679775,20221002T080001,20221002T172708,329,279,252,20
10677,62,172,PI,DOM EXPEDITO LOPES,1155,1117158,976648DA,20220926T114500,645728448859862733305417,20221002T080001,20221002T195020,363,325,277,26
10685,13,177,PI,DOM INOCÊNCIO,1163,1802060,E6F73F86,20220929T163800,170357526681337099221890,20221002T080001,20221002T180210,333,297,275,13
10685,13,178,PI,DOM INOCÊNCIO,1171,1800555,E6F73F86,20220929T165400,140054601478205530266271,20221002T080001,20221002T200015,376,325,287,21
