15458,54,166,,,1155,1619140,ABC8A7F4,20220927T152700,617240615582326785820054,20221002T080001,20221002T192552,252,216,165,30,17,4,216,LULA,135,false,0
1007,9,279,,,2003,1132629,5EF7CCDD,20220925T190700,067805061821858151166240,20221002T062510,20221002T150817,289,205,41,147,10,6,205,BOLSONARO,106,false,0
13447,54,131,,,1228,1622403,7D49ED36,20220927T153200,371016378362825138285058,20221002T080001,20221002T174230,234,194,109,59,22,2,194,LULA,50,false,0
13447,54,26,,,1287,1621459,7D49ED36,20220927T145100,007379004625458111042059,20221002T080001,20221002T181354,270,223,167,32,21,1,223,LULA,135,false,0
13048,21,137,,,1694,1188957,D16875FD,20220921T171700,399364399601698954867842,20221002T080001,20221002T173300,261,176,152,9,9,4,176,LULA,143,false,0
13048,21,141,,,1678,1012624,D16875FD,20220921T165700,439768438105986525764866,20221002T085049,20221002T173934,322,247,193,39,12,3,247,LULA,154,false,0
15210,40,151,,,1759,1753361,CB89EE27,20220922T174300,876815872382253134516358,20221002T093913,20221002T170850,260,183,147,19,10,4,183,LULA,128,false,0
15172,10,7,,,1040,1326542,117883CC,20220923T094800,116918111401081892516213,20221002T080001,20221002T170334,163,142,106,29,6,3,145,LULA,77,true,3
13650,43,101,,,1430,1616170,26EDF875,20220927T134500,882349888818410146875946,20221002T080541,20221002T170309,212,155,127,15,8,2,155,LULA,112,false,0
15571,45,119,,,1597,1300740,CA4ACF8A,20220929T120400,926975921543095762093866,20221002T081852,20221002T184357,174,143,97,27,11,4,143,LULA,70,false,0
13099,24,589,,,1090,1629053,CEA90CBD,20220926T170600,052363054154641095940276,20221002T080001,20221002T173523,314,286,217,35,23,7,286,LULA,182,false,0
15920,47,280,,,2046,1819412,8CE049B2,20220923T191200,711276718503066320991945,20221002T080001,20221002T183827,322,258,154,69,19,10,258,LULA,85,false,0
13811,64,43,,,1040,1773412,F1799CD4,20220922T163400,516537517017765142788978,20221002T081741,20221002T170326,238,204,138,37,15,10,204,LULA,101,false,0
15415,44,105,,,1058,1026572,F823DDE7,20220921T110300,084880082317351500310200,20221002T093216,20221002T193926,342,271,154,93,15,6,271,LULA,61,false,0
15415,44,167,,,1287,1182956,200ADED0,20220921T102800,317103312521008363136503,20221002T080001,20221002T194722,310,244,132,91,11,6,244,LULA,41,false,0
15415,44,19,,,1074,1006144,F823DDE7,20220921T101400,337305338342653982803405,20221002T080001,20221002T170918,282,218,94,108,10,3,218,BOLSONARO,14,false,0
13102,99,5,,,1023,1301710,D8D32A7E,20220922T161300,319493313061319409276442,20221002T080001,20221002T194233,318,220,168,29,18,3,220,LULA,139,false,0
14192,40,79,,,1031,1756253,107B683A,20220922T173100,027330026516172644176976,20221002T093954,20221002T172239,270,206,174,21,7,3,206,LULA,153,false,0
14192,40,89,,,1090,1752275,BE7B0032,20220922T162800,310259319899754772856556,20221002T092210,20221002T174513,340,260,194,45,11,8,260,LULA,149,false,0
15270,6,INDEFINIDO,,,1,1633369,C96C0B73,20220922T103600,137879139281860058951093,INDEFINIDO,INDEFINIDO,298,235,174,40,13,7,235,LULA,134,false,0
13129,52,105,,,1619,1201729,13A17762,20220928T170900,368493362051349739129225,20221002T080001,20221002T170219,257,208,141,51,7,6,208,LULA,90,false,0
13064,79,14,,,1090,1818624,DEA30EF4,20220926T165900,004048004871142799173352,20221002T090356,20221002T191937,360,269,214,25,20,8,269,LULA,189,false,0
14796,44,101,,,1406,1025869,1148A0C7,20220921T105400,105982108931788053017710,20221002T080001,20221002T174827,296,265,226,19,13,4,265,LULA,207,false,0
13447,54,157,,,1341,1629156,8511DA88,20220927T153500,300309300028963450519637,20221002T080001,20221002T170118,243,205,157,26,17,3,205,LULA,131,false,0
13447,54,158,,,1783,1621284,8511DA88,20220927T144100,310410315129672386009614,20221002T081120,20221002T180900,284,247,205,21,18,2,247,LULA,184,false,0
13447,54,175,,,1562,1635461,7D49ED36,20220930T170000,451824457770196549722599,20221002T080001,20221002T170955,271,217,163,24,22,5,217,LULA,139,false,0
