MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
CARINHANHA,BA,28879,20.66,22913,17553,11160,4943
CASTRO ALVES,BA,24437,20.66,19388,18031,13961,2701
CASA NOVA,BA,62862,20.66,49875,46270,34806,8257
CATOLÂNDIA,BA,3767,20.66,2989,3229,2448,559
CATU,BA,48697,20.66,38636,33398,23703,5531
PARAMIRIM,BA,20055,20.66,15912,12884,9597,2009
CENTRAL,BA,17320,20.66,13742,10797,8101,1712
CHORROCHÓ,BA,10571,20.66,8387,7027,5651,854
CÍCERO DANTAS,BA,30827,20.66,24458,20222,14472,3889
CIPÓ,BA,15063,20.66,11951,10710,6813,2849
COARACI,BA,22764,20.66,18061,12047,7483,3373
COCOS,BA,17394,20.66,13800,12556,8274,3369
CORIBE,BA,14555,20.66,11548,9158,6449,1978
CONCEIÇÃO DA FEIRA,BA,19091,20.66,15147,14005,10300,2275
SÃO GONÇALO DOS CAMPOS,BA,29205,20.66,23171,24677,18612,3719
CONCEIÇÃO DO ALMEIDA,BA,17684,20.66,14030,12569,9759,1796
CONCEIÇÃO DO COITÉ,BA,60835,20.66,48266,42039,25149,12771
CONDE,BA,22034,20.66,17482,13730,10022,2396
ESPLANADA,BA,31118,20.66,24689,21151,15551,3640
CONDEÚBA,BA,17004,20.66,13491,11304,7264,2659
CORAÇÃO DE MARIA,BA,23161,20.66,18376,17973,13803,2528
CORDEIROS,BA,8518,20.66,6758,5200,3144,1422
CORONEL JOÃO SÁ,BA,18168,20.66,14414,11353,8511,1783
CORRENTINA,BA,31658,20.66,25117,20861,14605,4278
COTEGIPE,BA,13663,20.66,10840,8986,7011,1499
CRAVOLÂNDIA,BA,5427,20.66,4306,3324,2499,444
CRISÓPOLIS,BA,19510,20.66,15479,12271,9712,1447
CRISTÓPOLIS,BA,13595,20.66,10786,9303,6408,2008
CRUZ DAS ALMAS,BA,54827,20.66,43500,40152,25821,10527
CURAÇÁ,BA,32449,20.66,25745,20869,15857,3457
DÁRIO MEIRA,BA,12565,20.66,9969,6028,4307,1099
DOM BASÍLIO,BA,11087,20.66,8796,9358,7535,1097
DOM MACEDO COSTA,BA,3809,20.66,3022,3679,2505,823
ELÍSIO MEDRADO,BA,7907,20.66,6273,5899,4017,1276
ENCRUZILHADA,BA,22525,20.66,17871,11698,7979,2507
ENTRE RIOS,BA,38886,20.66,30852,23830,17300,4011
PORTO VELHO,RO,369345,22.52,286169,275636,91965,152732
FEIRA DA MATA,BA,6328,20.66,5021,4121,2518,1347
EUCLIDES DA CUNHA,BA,56625,20.66,44926,37870,29333,5428
FIRMINO ALVES,BA,5577,20.66,4425,3810,2440,1025
FLORESTA AZUL,BA,10333,20.66,8198,6060,4280,1211
FORMOSA DO RIO PRETO,BA,20845,20.66,16538,15315,10304,3774
GANDU,BA,30091,20.66,23874,18156,10457,5820
ITAMARI,BA,8468,20.66,6719,5016,3213,1300
GENTIO DO OURO,BA,11326,20.66,8986,7568,6191,968
XIQUE-XIQUE,BA,45700,20.66,36258,27059,19932,4676
GLÓRIA,BA,13879,20.66,11012,10290,8601,1004
GONGOGI,BA,6845,20.66,5431,3773,2733,730
SANTA LUZIA D'OESTE,RO,9264,22.52,7178,4915,1576,2875
FEIRA DE SANTANA,BA,571997,20.66,453822,360733,211813,107271
GOVERNADOR MANGABEIRA,BA,19828,20.66,15732,13822,10311,2035
MURITIBA,BA,27212,20.66,21590,17991,13620,2455
GUANAMBI,BA,76230,20.66,60481,54544,33200,15837
GUARATINGA,BA,22621,20.66,17948,11721,7501,3047
ITABELA,BA,25821,20.66,20486,16519,9517,5503
IAÇU,BA,27835,20.66,22084,14934,11194,2362
IBICARAÍ,BA,24752,20.66,19638,14413,8693,4322
IBICUÍ,BA,15777,20.66,12517,9061,6091,2126
IBIPEBA,BA,16762,20.66,13299,11001,8933,1374
SANTA RITA DE CÁSSIA,BA,26135,20.66,20736,17264,12689,3102
IBIPITANGA,BA,13841,20.66,10981,9260,6614,1919
IBIQUERA,BA,5007,20.66,3973,3030,2371,352
IBIRAPITANGA,BA,23197,20.66,18404,10429,7057,2314
IBIRAPUÃ,BA,7534,20.66,5977,5604,2834,2339
IBIRATAIA,BA,23940,20.66,18994,11506,6742,3370
IBITIARA,BA,15802,20.66,12537,8554,6185,1542
SEABRA,BA,40543,20.66,32167,28467,22880,3430
IBITITÁ,BA,18614,20.66,14768,12575,9885,1828
IBOTIRAMA,BA,25292,20.66,20067,17183,11580,4392
IGRAPIÚNA,BA,13246,20.66,10509,7122,4904,1358
IGUAÍ,BA,27849,20.66,22095,13768,8560,3794
ILHÉUS,BA,220144,20.66,174662,103819,57891,34109
INHAMBUPE,BA,34388,20.66,27283,21208,15361,3554
IPECAETÁ,BA,16055,20.66,12738,11417,8782,1617
IPIAÚ,BA,42561,20.66,33768,24793,15249,7099
IPUPIARA,BA,8931,20.66,7086,6201,4242,1463
OLIVEIRA DOS BREJINHOS,BA,22609,20.66,17938,13135,10117,1995
IPIRÁ,BA,60043,20.66,47638,36890,26950,5830
IRAJUBA,BA,7215,20.66,5724,4555,3328,823
JAGUAQUARA,BA,46641,20.66,37005,26342,16757,7060
IRAQUARA,BA,22607,20.66,17936,14246,11991,1235
LENÇÓIS,BA,9617,20.66,7630,6785,5480,828
IRARÁ,BA,25012,20.66,19845,19506,14300,3120
IRECÊ,BA,62676,20.66,49727,41617,27833,10016
ITABERABA,BA,59393,20.66,47122,39374,26701,8447
ITABUNA,BA,210604,20.66,167093,117490,56676,46949
ITACARÉ,BA,24720,20.66,19613,14027,9733,3239
ITAGI,BA,13882,20.66,11014,7583,4861,1927
ITAETÉ,BA,14154,20.66,11230,8066,5413,1969
MUCUGÊ,BA,14131,20.66,11212,8057,5150,2044
ITAGIBÁ,BA,16272,20.66,12910,9208,5867,2504
ITAGIMIRIM,BA,7049,20.66,5593,4486,2838,1172
ITAGUAÇU DA BAHIA,BA,12545,20.66,9953,8492,6858,1101
ITAJU DO COLÔNIA,BA,7673,20.66,6088,4072,2269,1489
ITAJUÍPE,BA,20343,20.66,16140,12975,8235,3499
ITAMARAJU,BA,65327,20.66,51830,35523,16691,15716
ITAMBÉ,BA,33687,20.66,26727,14508,9489,3594
ITANAGRA,BA,6605,20.66,5240,4628,3544,716
MATA DE SÃO JOÃO,BA,37201,20.66,29515,32478,23179,5837
ITANHÉM,BA,20636,20.66,16373,11058,6510,3401
VEREDA,BA,7174,20.66,5692,5341,3406,1459
ITAPARICA,BA,19897,20.66,15786,14281,10658,2355
VERA CRUZ,BA,35060,20.66,27817,27490,19849,5034
ITAPÉ,BA,11123,20.66,8825,6608,4021,1935
ITAPEBI,BA,11520,20.66,9140,5872,4103,1265
ITAPETINGA,BA,63243,20.66,50177,38580,19052,15715
ITAPITANGA,BA,10106,20.66,8018,4656,3198,1084
ITAPICURU,BA,30703,20.66,24360,17868,13715,2266
ITAQUARA,BA,7564,20.66,6001,4950,3447,1004
ITARANTIM,BA,17615,20.66,13976,10737,6164,3658
ITATIM,BA,14569,20.66,11559,9503,6357,2210
SANTA TEREZINHA,BA,9914,20.66,7866,7605,5612,1257
ITIRUÇU,BA,15764,20.66,12507,7574,5136,1653
LAJEDO DO TABOCAL,BA,8591,20.66,6816,4624,3430,746
ITIÚBA,BA,35749,20.66,28363,21724,14896,4921
ITORORÓ,BA,20165,20.66,15999,12562,7555,3782
ITUAÇU,BA,17939,20.66,14233,12495,8148,2949
ITUBERÁ,BA,23530,20.66,18669,13448,7662,4261
JACARACI,BA,14346,20.66,11382,8826,6682,1371
JACOBINA,BA,76463,20.66,60666,47895,32313,10729
JAGUARARI,BA,29097,20.66,23086,17607,12274,3380
JAGUARIPE,BA,16207,20.66,12859,11930,8935,1786
JANDAÍRA,BA,9758,20.66,7742,6502,5061,902
JEQUIÉ,BA,145964,20.66,115808,93720,55276,27874
JEREMOABO,BA,37431,20.66,29698,22645,17545,3240
JIQUIRIÇÁ,BA,13386,20.66,10620,8723,6306,1525
JITAÚNA,BA,16839,20.66,13360,9529,6397,2108
JUCURUÇU,BA,10599,20.66,8409,6486,4189,1583
JUSSARA,BA,14833,20.66,11769,10552,8970,806
JUSSIAPE,BA,8465,20.66,6716,5560,3899,1070
LAFAIETE COUTINHO,BA,3526,20.66,2798,3345,2497,512
JUAZEIRO,BA,230538,20.66,182909,130688,82560,37379
LAGOA REAL,BA,13795,20.66,10945,8356,6563,974
LAJE,BA,21104,20.66,16744,15764,10847,3501
LAJEDINHO,BA,4329,20.66,3435,2792,2110,411
LAMARÃO,BA,11988,20.66,9511,6004,5014,529
PLANALTINO,BA,8472,20.66,6722,5427,4069,787
MARACÁS,BA,34221,20.66,27151,16245,11838,2843
PALMEIRAS,BA,8040,20.66,6379,6526,5293,760
LAURO DE FREITAS,BA,144492,20.66,114640,123303,74506,34005
LICÍNIO DE ALMEIDA,BA,12695,20.66,10072,7833,5394,1698
LIVRAMENTO DE NOSSA SENHORA,BA,42146,20.66,33439,27108,19654,5168
RIO DE CONTAS,BA,13447,20.66,10669,9867,6962,1915
MACAJUBA,BA,11207,20.66,8892,7326,5138,1375
MACARANI,BA,16046,20.66,12731,9731,5424,3222
MACURURÉ,BA,7779,20.66,6172,5255,4209,603
NOVA BRASILÂNDIA D'OESTE,RO,17170,22.52,13303,10518,2785,6909
MAIQUINIQUE,BA,8324,20.66,6604,5763,3295,1929
MAIRI,BA,19259,20.66,15280,10657,7524,1945
MALHADA,BA,16085,20.66,12762,10533,7190,2601
MANOEL VITORINO,BA,14262,20.66,11315,9919,7707,1392
MARAGOGIPE,BA,42079,20.66,33385,27288,20846,4123
SÃO FÉLIX,BA,15302,20.66,12141,8422,6548,1061
MARCIONÍLIO SOUZA,BA,10716,20.66,8502,5759,4252,956
MASCOTE,BA,16061,20.66,12743,6906,4796,1558
MATINA,BA,12322,20.66,9776,7622,6273,673
MEDEIROS NETO,BA,21866,20.66,17348,14367,8089,5085
MIGUEL CALMON,BA,27213,20.66,21591,16065,10530,3942
MILAGRES,BA,11771,20.66,9339,7163,5078,1517
MIRANGABA,BA,17474,20.66,13864,9734,7212,1690
MIRANTE,BA,9174,20.66,7279,5825,4368,948
MORPARÁ,BA,8586,20.66,6812,5902,4139,1343
MONTE SANTO,BA,52249,20.66,41454,32430,26669,3250
MORRO DO CHAPÉU,BA,34012,20.66,26985,20480,14845,3608
MORTUGABA,BA,13905,20.66,11032,7027,4080,2184
MUCURI,BA,33143,20.66,26296,21940,11502,8540
MULUNGU DO MORRO,BA,13755,20.66,10913,8570,7141,739
MUNDO NOVO,BA,23822,20.66,18900,11532,8409,1845
MUNIZ FERREIRA,BA,6990,20.66,5546,6190,4575,1059
SANTO ANTÔNIO DE JESUS,BA,84256,20.66,66849,61481,38506,16698
MUQUÉM DO SÃO FRANCISCO,BA,10096,20.66,8010,7410,5581,1415
MUTUÍPE,BA,21181,20.66,16805,14041,9398,2933
NAZARÉ,BA,26506,20.66,21030,17840,12977,3307
NILO PEÇANHA,BA,12531,20.66,9942,7787,5323,1515
NOVA CANAÃ,BA,18829,20.66,14939,9311,6842,1598
NOVA FÁTIMA,BA,7674,20.66,6089,6162,4316,1182
NOVA ITARANA,BA,7423,20.66,5889,4732,3356,922
NOVA REDENÇÃO,BA,8943,20.66,7095,4899,4042,508
NOVA SOURE,BA,25697,20.66,20388,15947,12760,1707
NOVA VIÇOSA,BA,34623,20.66,27470,22534,11154,9335
NOVO TRIUNFO,BA,14153,20.66,11229,6230,4727,885
OLINDINA,BA,23791,20.66,18876,14930,11800,1907
OURIÇANGAS,BA,7802,20.66,6190,5462,4275,556
OUROLÂNDIA,BA,16302,20.66,12934,10916,6429,3688
PALMAS DE MONTE ALTO,BA,21107,20.66,16746,13932,11048,1715
RIO DO PIRES,BA,11385,20.66,9033,6775,5025,1136
PARATINGA,BA,28671,20.66,22748,17907,14303,2420
PAU BRASIL,BA,12155,20.66,9644,5844,3219,2130
PEDRÃO,BA,7238,20.66,5743,4875,4023,430
PAULO AFONSO,BA,101952,20.66,80889,64897,48400,11479
SANTA BRÍGIDA,BA,15483,20.66,12284,9072,7201,1087
PEDRO ALEXANDRE,BA,17092,20.66,13561,7779,6044,885
PIATÃ,BA,18085,20.66,14349,12551,8255,2441
PILÃO ARCADO,BA,32844,20.66,26058,21461,17063,2785
PINDAÍ,BA,15306,20.66,12144,10435,7764,1657
PINDOBAÇU,BA,20312,20.66,16116,12493,8299,3235
PIRAÍ DO NORTE,BA,8897,20.66,7059,5736,3910,1228
PIRITIBA,BA,24189,20.66,19192,11181,7816,2267
PLANALTO,BA,21486,20.66,17047,15616,10085,3671
POJUCA,BA,30221,20.66,23977,22464,15608,3960
POÇÕES,BA,44759,20.66,35512,27874,19564,5613
PONTO NOVO,BA,14820,20.66,11758,10486,7707,1775
POTIRAGUÁ,BA,10350,20.66,8212,6047,3628,1902
PORTO SEGURO,BA,114459,20.66,90812,80006,42686,30911
SANTA CRUZ CABRÁLIA,BA,25110,20.66,19922,16698,9702,5469
PRADO,BA,25429,20.66,20175,17745,9505,6936
PRESIDENTE DUTRA,BA,13822,20.66,10966,9085,7668,915
PRESIDENTE JÂNIO QUADROS,BA,14803,20.66,11745,7804,5966,1107
PRESIDENTE TANCREDO NEVES,BA,22684,20.66,17997,17274,11142,4134
QUEIMADAS,BA,27186,20.66,21569,16740,11741,3463
QUIJINGUE,BA,27068,20.66,21476,14880,11319,2084
REMANSO,BA,38004,20.66,30152,24785,19164,3628
RETIROLÂNDIA,BA,11938,20.66,9472,10203,7564,1669
RIACHÃO DO JACUÍPE,BA,32522,20.66,25803,22887,17622,3160
RIACHÃO DAS NEVES,BA,22528,20.66,17874,14829,10976,2878
RIACHO DE SANTANA,BA,29425,20.66,23346,18557,14802,2211
RIBEIRA DO AMPARO,BA,14101,20.66,11188,9311,7075,1250
RIBEIRA DO POMBAL,BA,47400,20.66,37607,33819,24152,6613
RIBEIRÃO DO LARGO,BA,14297,20.66,11343,6193,4371,1280
RIO DO ANTÔNIO,BA,15096,20.66,11977,8522,6416,1322
RIO REAL,BA,36169,20.66,28696,22259,14650,4857
RODELAS,BA,7023,20.66,5572,6056,4823,893
RUY BARBOSA,BA,29358,20.66,23293,18282,12842,3580
SALINAS DA MARGARIDA,BA,13090,20.66,10386,11277,8823,1477
SANTA BÁRBARA,BA,19440,20.66,15424,15824,11958,2542
SANTA CRUZ DA VITÓRIA,BA,6386,20.66,5067,3401,2005,1011
SANTA INÊS,BA,10564,20.66,8381,5910,4649,748
SANTALUZ,BA,33633,20.66,26684,25090,17348,5101
SANTA MARIA DA VITÓRIA,BA,40571,20.66,32189,24446,16657,5607
SANTANA,BA,25947,20.66,20586,16377,11374,3723
SANTANÓPOLIS,BA,9199,20.66,7298,7258,5558,974
SANTO AMARO,BA,58028,20.66,46039,39040,30223,4727
SÃO DESIDÉRIO,BA,25158,20.66,19960,20249,13454,5373
SÃO DOMINGOS,BA,8818,20.66,6996,5808,3994,1212
VALENTE,BA,21512,20.66,17068,17188,10518,4584
SÃO FELIPE,BA,20265,20.66,16078,13524,9723,2534
SÃO FÉLIX DO CORIBE,BA,12815,20.66,10167,9829,5909,2993
SÃO FRANCISCO DO CONDE,BA,29829,20.66,23666,26835,20955,3343
SÃO JOSÉ DO JACUÍPE,BA,10477,20.66,8312,6292,4379,1127
SALVADOR,BA,2892625,20.66,2295009,1627906,1022728,367452
SÃO SEBASTIÃO DO PASSÉ,BA,40321,20.66,31991,27876,22275,3069
SAPEAÇU,BA,16518,20.66,13105,12736,9300,2120
SÁTIRO DIAS,BA,18104,20.66,14364,10339,7526,1671
SAUBARA,BA,11051,20.66,8768,9973,7339,1689
SAÚDE,BA,11866,20.66,9414,6865,4932,1252
NOVO HORIZONTE,BA,10304,20.66,8175,7603,5571,1373
SEBASTIÃO LARANJEIRAS,BA,10712,20.66,8499,5607,3931,1167
SENHOR DO BONFIM,BA,72511,20.66,57530,41726,25238,11990
SENTO SÉ,BA,36517,20.66,28973,22900,16270,5064
SÍTIO DO MATO,BA,12567,20.66,9971,8641,6333,1730
SERRA PRETA,BA,15149,20.66,12019,13542,10663,1770
SERRINHA,BA,71383,20.66,56635,51235,35341,10496
SERROLÂNDIA,BA,12120,20.66,9616,8361,5486,1938
SIMÕES FILHO,BA,109269,20.66,86694,70532,46408,15715
SOUTO SOARES,BA,18013,20.66,14292,11161,9615,895
TANHAÇU,BA,19591,20.66,15543,13505,9641,2653
TANQUINHO,BA,7589,20.66,6021,6123,4621,1087
TAPEROÁ,BA,18217,20.66,14453,10698,7509,2035
TAPIRAMUTÁ,BA,17254,20.66,13689,8368,6230,1155
TEODORO SAMPAIO,BA,8306,20.66,6590,5554,4580,463
TEOLÂNDIA,BA,12429,20.66,9861,9282,6679,1755
TERRA NOVA,BA,12310,20.66,9767,8228,6246,1089
TREMEDAL,BA,18483,20.66,14664,11094,8036,1902
UAUÁ,BA,24662,20.66,19567,17109,13638,1999
TUCANO,BA,48740,20.66,38670,31477,23420,5309
UBAÍRA,BA,20708,20.66,16430,12410,8187,2948
UBAITABA,BA,20478,20.66,16247,10649,6278,3310
UBATÃ,BA,24791,20.66,19669,9279,5618,2674
UIBAÍ,BA,13719,20.66,10885,9766,7339,1644
UMBURANAS,BA,16081,20.66,12759,8918,5932,2182
UNA,BA,25277,20.66,20055,11870,6485,3911
URANDI,BA,15822,20.66,12553,10225,7707,1749
URUÇUCA,BA,22070,20.66,17510,13818,7916,4617
UTINGA,BA,19229,20.66,15256,9777,7225,1705
VALENÇA,BA,84931,20.66,67384,50209,30478,13254
MACHADINHO D'OESTE,RO,31475,22.52,24387,16522,4730,10612
VÁRZEA DO POÇO,BA,8569,20.66,6799,5401,3717,1152
VARZEDO,BA,9054,20.66,7183,7219,5045,1554
WAGNER,BA,8610,20.66,6831,5318,3884,969
WENCESLAU GUIMARÃES,BA,23985,20.66,19030,12101,8064,2834
VITÓRIA DA CONQUISTA,BA,308204,20.66,244529,211323,111892,73828
LAPÃO,BA,25557,20.66,20277,18317,13753,3301
MADRE DE DEUS,BA,15432,20.66,12244,13199,9982,2151
MAETINGA,BA,8793,20.66,6976,4622,3289,767
MANSIDÃO,BA,11694,20.66,9278,7082,5517,1021
NORDESTINA,BA,12172,20.66,9657,6822,5163,1060
PÉ DE SERRA,BA,14160,20.66,11235,9535,5988,2413
PINTADAS,BA,10551,20.66,8371,6507,3893,1929
RAFAEL JAMBEIRO,BA,23107,20.66,18333,13789,9704,2680
SANTA LUZIA,BA,15184,20.66,12047,6412,4055,1708
SÃO GABRIEL,BA,18468,20.66,14653,12955,10764,1320
SÍTIO DO QUINTO,BA,14069,20.66,11162,7667,5885,1075
TANQUE NOVO,BA,15745,20.66,12492,10822,8433,1409
SÃO JOSÉ DA VITÓRIA,BA,6095,20.66,4836,3783,2139,1266
TEIXEIRA DE FREITAS,BA,118702,20.66,94178,81693,38327,35936
VÁRZEA NOVA,BA,13949,20.66,11067,8070,5571,1613
NOVA IBIÁ,BA,6871,20.66,5451,3832,2354,1120
VÁRZEA DA ROÇA,BA,14479,20.66,11488,8396,5830,1477
SOBRADINHO,BA,21315,20.66,16911,15301,11129,3023
WANDERLEY,BA,12982,20.66,10300,8461,5814,2201
ALFREDO VASCONCELOS,MG,5900,18.44,4812,4896,2617,1564
ABADIA DOS DOURADOS,MG,6556,18.44,5347,4606,2228,1869
ARAPORÃ,MG,6113,18.44,4986,5071,2412,2192
ABAETÉ,MG,22474,18.44,18330,14188,6119,6504
BRASILÂNDIA DE MINAS,MG,12821,18.44,10457,8963,5056,3294
ABRE CAMPO,MG,12867,18.44,10494,9157,5004,3139
GOIANÉSIA DO PARÁ,PA,27166,24.77,20437,16281,9008,6085
CAPITÃO ANDRADE,MG,4801,18.44,3916,2779,1264,1224
ACAIACA,MG,4056,18.44,3308,2661,1702,665
CARNEIRINHO,MG,8859,18.44,7225,6100,3032,2637
AÇUCENA,MG,11127,18.44,9075,5593,3124,1856
CATUJI,MG,6597,18.44,5381,6183,4249,1290
ITAIPÉ,MG,11497,18.44,9377,6226,3935,1493
ÁGUA BOA,MG,16435,18.44,13404,7754,4612,2418
DIVISA ALEGRE,MG,5793,18.44,4725,4334,2522,1262
ÁGUA COMPRIDA,MG,2093,18.44,1707,1815,744,923
DIVISÓPOLIS,MG,7852,18.44,6404,5972,3638,1658
AGUANIL,MG,4054,18.44,3306,3167,1500,1235
ABAETETUBA,PA,132222,24.77,99471,99959,70766,22267
DURANDÉ,MG,6932,18.44,5654,5045,2740,1825
ÁGUAS FORMOSAS,MG,18518,18.44,15103,11329,6083,4075
ENTRE FOLHAS,MG,4931,18.44,4022,4697,2305,1983
ÁGUAS VERMELHAS,MG,12674,18.44,10337,6689,4265,1601
FERVEDOURO,MG,10261,18.44,8369,6608,3598,2310
AIMORÉS,MG,24232,18.44,19764,14150,6036,6976
TAILÂNDIA,PA,64281,24.77,48359,40305,20617,16644
FRANCISCÓPOLIS,MG,5664,18.44,4620,3387,2233,819
AIURUOCA,MG,6099,18.44,4974,3932,1914,1545
ICARAÍ DE MINAS,MG,10331,18.44,8426,6232,4313,1505
ALAGOA,MG,2825,18.44,2304,1927,606,1091
IPABA,MG,14844,18.44,12107,9091,4269,4092
IPATINGA,MG,238397,18.44,194437,139336,45780,79836
ALBERTINA,MG,2872,18.44,2342,2625,787,1584
JAÍBA,MG,30386,18.44,24783,19222,11109,6511
ALÉM PARAÍBA,MG,33495,18.44,27319,21703,11319,8227
ACARÁ,PA,47923,24.77,36052,37614,24143,9994
JAMPRUCA,MG,4926,18.44,4018,3057,1996,781
JUATUBA,MG,19528,18.44,15927,18509,8266,7648
ALFENAS,MG,71628,18.44,58420,46752,17911,23422
ALMENARA,MG,36907,18.44,30101,21984,14645,5235
LAGOA GRANDE,MG,8660,18.44,7063,5758,3137,2159
ALPERCATA,MG,7007,18.44,5715,4580,2412,1772
LIMEIRA DO OESTE,MG,6492,18.44,5295,4980,2666,1964
ALPINÓPOLIS,MG,17821,18.44,14535,12392,5271,5736
LONTRA,MG,7979,18.44,6508,5904,4112,1247
ALTEROSA,MG,13286,18.44,10836,9891,4127,4829
MAMONAS,MG,6247,18.44,5095,4671,3049,1190
ALTO RIO DOCE,MG,12657,18.44,10323,7548,5052,1602
MATA VERDE,MG,7458,18.44,6083,5156,2780,1801
ALVARENGA,MG,4558,18.44,3718,3406,1823,1369
MATIAS CARDOSO,MG,10270,18.44,8376,5107,3428,1209
MONTEZUMA,MG,7259,18.44,5920,4250,2587,1060
ALVINÓPOLIS,MG,15251,18.44,12439,10299,6437,2662
ALVORADA DE MINAS,MG,3482,18.44,2840,2889,2016,542
SERRO,MG,20862,18.44,17015,12107,8131,2573
NAQUE,MG,5885,18.44,4800,4051,2186,1491
BOM JESUS DO TOCANTINS,PA,13145,24.77,9889,8705,4541,3477
AMPARO DO SERRA,MG,5245,18.44,4278,3634,2551,710
NOVO ORIENTE DE MINAS,MG,10327,18.44,8423,5865,3836,1334
PALMÓPOLIS,MG,7041,18.44,5743,4115,2737,848
ANDRADAS,MG,34956,18.44,28510,23147,7031,12985
JACUTINGA,MG,20389,18.44,16629,14512,3684,9237
IBITIÚRA DE MINAS,MG,3382,18.44,2758,2958,802,1803
CACHOEIRA DE PAJEÚ,MG,9089,18.44,7413,5019,3231,1287
PEDRAS DE MARIA DA CRUZ,MG,10976,18.44,8952,5589,4137,1064
ANDRELÂNDIA,MG,12035,18.44,9816,7376,3718,2544
PERIQUITO,MG,7030,18.44,5734,4854,2485,2018
AFUÁ,PA,31183,24.77,23459,21187,12781,5785
ANTÔNIO CARLOS,MG,11172,18.44,9112,7756,4576,2134
PONTO DOS VOLANTES,MG,10976,18.44,8952,6438,4059,1592
ANTÔNIO DIAS,MG,9435,18.44,7695,6757,3493,2440
RIACHINHO,MG,8126,18.44,6628,4204,2589,1245
ANTÔNIO PRADO DE MINAS,MG,1962,18.44,1600,1513,842,536
ARAÇAÍ,MG,2384,18.44,1944,1974,1048,657
SANTA BÁRBARA DO LESTE,MG,7451,18.44,6077,5677,2611,2413
SÃO JOÃO DE PIRABAS,PA,18919,24.77,14233,13939,9210,3592
SANTA RITA DE MINAS,MG,5787,18.44,4720,4769,2113,2130
ARAÇUAÍ,MG,36083,18.44,29429,19273,11978,5565
SANTANA DO PARAÍSO,MG,22765,18.44,18567,18000,6817,9595
SÃO JOÃO DA LAGOA,MG,4729,18.44,3857,3733,2616,776
ARAGUARI,MG,106403,18.44,86782,69072,24703,36783
ARANTINA,MG,2544,18.44,2075,2200,1386,538
SÃO JOÃO DO MANHUAÇU,MG,9394,18.44,7662,7293,3356,3460
ALENQUER,PA,52661,24.77,39617,33164,15865,14421
CURUÁ,PA,11928,24.77,8973,8749,6322,1803
ARAPONGA,MG,8029,18.44,6548,5349,3575,1045
SÃO JOÃO DO MANTENINHA,MG,4855,18.44,3960,3775,1822,1636
ARAPUÁ,MG,2699,18.44,2201,2481,828,1333
SÃO JOÃO DO PACUÍ,MG,4003,18.44,3265,2920,2090,535
ARAÚJOS,MG,7201,18.44,5873,5336,2003,2705
SÃO JOSÉ DA LAPA,MG,17900,18.44,14599,16206,6766,7307
SARZEDO,MG,23282,18.44,18989,20516,8277,9481
ARAXÁ,MG,87764,18.44,71580,63155,25928,28343
TUCUMÃ,PA,26513,24.77,19946,20352,6862,12354
ARCEBURGO,MG,7994,18.44,6520,5900,2275,2843
ARCOS,MG,34763,18.44,28353,26026,10064,11953
SENADOR AMARAL,MG,5051,18.44,4120,4370,1736,2191
AREADO,MG,13181,18.44,10750,8966,3335,4467
UBAPORANGA,MG,12060,18.44,9836,7924,3255,3909
ARGIRITA,MG,2995,18.44,2443,2318,1531,607
URUCUIA,MG,11376,18.44,9278,5414,3240,1665
ARINOS,MG,17592,18.44,14348,9646,5555,3210
ALMEIRIM,PA,30903,24.77,23248,17679,11781,4798
VARGEM ALEGRE,MG,6594,18.44,5378,4321,2249,1734
ASTOLFO DUTRA,MG,12510,18.44,10203,8700,4266,3665
JOSENÓPOLIS,MG,4440,18.44,3621,2239,1554,475
ATALÉIA,MG,15078,18.44,12298,7268,4672,1966
LADAINHA,MG,16479,18.44,13440,8062,5277,1697
PAVÃO,MG,8868,18.44,7233,5141,3252,1376
JUVENÍLIA,MG,6050,18.44,4934,3838,2438,1049
AUGUSTO DE LIMA,MG,4589,18.44,3743,2887,1589,977
JOAQUIM FELÍCIO,MG,3937,18.44,3211,2966,1563,1019
LEME DO PRADO,MG,4930,18.44,4021,2923,1980,620
BAEPENDI,MG,18016,18.44,14694,12195,4084,6702
LUISBURGO,MG,6276,18.44,5119,4410,1647,2227
BALDIM,MG,8274,18.44,6748,5574,2670,2160
LUISLÂNDIA,MG,6432,18.44,5246,4576,3633,676
BAMBUÍ,MG,21850,18.44,17821,14478,7173,5532
MÁRIO CAMPOS,MG,11421,18.44,9315,9983,4270,4297
BANDEIRA,MG,5337,18.44,4353,3242,2329,515
MÃE DO RIO,PA,27614,24.77,20774,19538,10003,7738
MARTINS SOARES,MG,6338,18.44,5169,6077,3185,2388
BANDEIRA DO SUL,MG,5106,18.44,4164,3901,1468,1976
POÇOS DE CALDAS,MG,144386,18.44,117761,92152,34243,45508
MIRAVÂNIA,MG,4708,18.44,3840,2622,1833,506
MONTE FORMOSO,MG,4709,18.44,3841,3252,2233,639
BARÃO DE COCAIS,MG,26421,18.44,21549,19767,10079,6613
BARÃO DE MONTE ALTO,MG,5656,18.44,4613,4311,2663,1297
NATALÂNDIA,MG,3271,18.44,2668,2400,1430,789
ALTAMIRA,PA,92105,24.77,69291,65093,23403,36642
BARBACENA,MG,122377,18.44,99811,79994,40846,28281
