MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ITAUEIRA,PI,10558,6966,5129,1141
JAICÓS,PI,16826,10240,7744,1402
JORDÃO,AC,6059,4146,2213,1515
JERUMENHA,PI,4371,3713,2867,604
JOAQUIM PIRES,PI,13779,9235,6789,1835
SANTO ANTÔNIO DE LISBOA,PI,5729,5081,3855,824
LANDRI SALES,PI,5586,3494,2846,432
JOSÉ DE FREITAS,PI,35164,28381,22907,3279
CAJUEIRO DA PRAIA,PI,6981,5388,4076,948
LUZILÂNDIA,PI,24323,16143,12008,2972
MANOEL EMÍDIO,PI,5357,3729,3011,462
MARCOS PARENTE,PI,4198,3165,2174,773
ACRELÂNDIA,AC,11520,7293,1516,5238
MATIAS OLÍMPIO,PI,10465,6598,4928,1143
MIGUEL ALVES,PI,32178,19343,15013,2531
MONSENHOR GIL,PI,10321,8259,6414,1260
MONSENHOR HIPÓLITO,PI,7163,5862,4709,626
MONTE ALEGRE DO PIAUÍ,PI,10335,7058,5680,886
NAZARÉ DO PIAUÍ,PI,6947,5180,4412,430
NOSSA SENHORA DOS REMÉDIOS,PI,8044,6766,5151,1106
NOVO ORIENTE DO PIAUÍ,PI,6191,4023,3359,345
FEIJÓ,AC,31288,15854,7930,6191
OEIRAS,PI,35075,24091,17737,4566
DOMINGOS MOURÃO,PI,4312,3340,2804,330
PADRE MARCOS,PI,7340,4939,3842,686
PAES LANDIM,PI,4462,3219,2183,710
PALMEIRA DO PIAUÍ,PI,4985,3694,2654,697
PALMEIRAIS,PI,13721,10099,8267,1214
PARNAGUÁ,PI,10313,5677,4577,716
PEDRO II,PI,36675,24961,17672,4900
PIMENTA BUENO,RO,32893,20378,4887,13773
PIMENTEIRAS,PI,11722,7053,5437,1075
PIO IX,PI,17123,11635,9375,1321
PIRACURUCA,PI,25625,18564,13707,3475
PIRIPIRI,PI,60249,38916,27351,8085
PORTO,PI,11492,6993,5291,1207
PRATA DO PIAUÍ,PI,3159,2710,2209,310
REDENÇÃO DO GURGUÉIA,PI,8263,5182,3558,1180
REGENERAÇÃO,PI,17633,10575,8526,1196
RIBEIRO GONÇALVES,PI,6577,4192,3063,876
RIO GRANDE DO PIAUÍ,PI,6430,4177,3406,495
SANTA CRUZ DO PIAUÍ,PI,5790,4591,3770,518
