MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
QUADRA,SP,2679,19.21,2164,2824,1054,1374
SANTA CRUZ DA ESPERANÇA,SP,1707,19.21,1379,1863,765,882
SANTA SALETE,SP,1390,19.21,1123,1407,425,852
SANTÓPOLIS DO AGUAPEÍ,SP,4008,19.21,3238,4201,1445,2288
BORÁ,SP,804,19.21,650,847,319,444
LOUVEIRA,SP,29760,19.21,24043,30666,9798,16703
NOVA INDEPENDÊNCIA,SP,2480,19.21,2004,2609,1145,1238
URU,SP,1362,19.21,1100,1441,445,847
BELÁGUA,MA,5717,24.73,4303,5975,5145,520
TABOCÃO,TO,2101,23.37,1610,2443,1270,964
LAJEADO,TO,2159,23.37,1654,2585,1313,1082
RIO DA CONCEIÇÃO,TO,1454,23.37,1114,1558,1000,443
TUPIRAMA,TO,1405,23.37,1077,1540,881,517
OLIVEIRA DE FÁTIMA,TO,1081,23.37,828,1218,685,454
CHAPADA DE AREIA,TO,1239,23.37,949,1806,881,817
MONTE SANTO DO TOCANTINS,TO,1858,23.37,1424,1937,824,978
FLORESTA,PR,5215,19.83,4181,5710,2000,3202
OURO VERDE,SC,2152,19.11,1741,2165,756,1244
ÁGUAS MORNAS,SC,4410,19.11,3567,5009,1228,2984
BALNEÁRIO ARROIO DO SILVA,SC,8089,19.11,6543,9838,3420,5504
MARACAJÁ,SC,5909,19.11,4780,6405,2040,3659
PASSO DE TORRES,SC,5313,19.11,4298,5814,2003,3180
BARRA VELHA,SC,18575,19.11,15025,19780,4704,13397
GUATAMBÚ,SC,4505,19.11,3644,4984,2623,1969
LAJEADO GRANDE,SC,1461,19.11,1182,1586,556,903
BALNEÁRIO BARRA DO SUL,SC,7278,19.11,5887,7526,2010,4907
PAIAL,SC,1821,19.11,1473,2063,954,917
BOMBINHAS,SC,12456,19.11,10076,13508,3469,8467
CORDILHEIRA ALTA,SC,3361,19.11,2719,3430,1185,1972
BOM JESUS,SC,2296,19.11,1857,2981,1355,1441
GAROPABA,SC,16399,19.11,13265,17400,6265,9098
ERMO,SC,1843,19.11,1491,1969,486,1317
JUPIÁ,SC,2134,19.11,1726,2185,896,1079
PALMEIRA,SC,2334,19.11,1888,2356,807,1275
ITAPEMA,SC,33766,19.11,27313,39440,8987,27073
ITAPOÁ,SC,10719,19.11,8671,13684,3848,8471
JABORÁ,SC,4032,19.11,3261,4231,1077,2647
BALNEÁRIO GAIVOTA,SC,7307,19.11,5911,7740,2621,4344
BALNEÁRIO PIÇARRAS,SC,13760,19.11,11130,14411,3642,9472
VILA LÂNGARO,RS,2230,17.99,1829,3170,888,1963
GRAMADO DOS LOUREIROS,RS,2370,17.99,1944,2699,1452,1031
SÃO VENDELINO,RS,1794,17.99,1471,2333,599,1389
ARAMBARÉ,RS,3825,17.99,3137,5697,2359,2682
COLINAS,RS,2404,17.99,1972,3667,1037,2091
SALDANHA MARINHO,RS,2982,17.99,2446,4131,1377,2333
IMBÉ,RS,14940,17.99,12252,15301,5944,7485
TUPANDI,RS,3604,17.99,2956,3734,801,2560
CAPÃO DO CIPÓ,RS,3180,17.99,2608,3266,1644,1313
CORONEL BARROS,RS,2441,17.99,2002,2458,800,1368
CAPÃO BONITO DO SUL,RS,1837,17.99,1507,1969,889,857
MATO LEITÃO,RS,3585,17.99,2940,3959,1265,2185
NICOLAU VERGUEIRO,RS,1759,17.99,1443,1789,613,1014
ITATI,RS,2677,17.99,2195,2686,1116,1284
ACORIZAL,MT,5530,22.86,4266,5754,3041,2322
QUERÊNCIA,MT,10682,22.86,8240,10741,2786,7473
LUCAS DO RIO VERDE,MT,30741,22.86,23714,37124,9278,25571
NOVA MUTUM,MT,24368,22.86,18797,24771,6198,17140
IPIRANGA DO NORTE,MT,4129,22.86,3185,4462,1118,3110
MORRO AGUDO DE GOIÁS,GO,2339,21.24,1842,2371,861,1310
AMORINÓPOLIS,GO,3527,21.24,2778,3737,1560,1801
ARAGOIÂNIA,GO,7243,21.24,5705,7301,3084,3466
AVELINÓPOLIS,GO,2375,21.24,1871,2743,1026,1481
SANTA TEREZA DO TOCANTINS,TO,2297,23.37,1760,2466,1167,1074
BARRO ALTO,GO,6446,21.24,5077,7310,3129,3478
GOIANIRA,GO,24110,21.24,18989,31439,13046,14842
