MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ITABUNA,BA,214123,117490,56676,46949
ITACARÉ,BA,29051,14027,9733,3239
ITAGI,BA,12140,7583,4861,1927
ITAETÉ,BA,16164,8066,5413,1969
MUCUGÊ,BA,8725,8057,5150,2044
ITAGIBÁ,BA,14331,9208,5867,2504
ITAGIMIRIM,BA,6784,4486,2838,1172
ITAGUAÇU DA BAHIA,BA,14650,8492,6858,1101
ITAJU DO COLÔNIA,BA,6515,4072,2269,1489
ITAJUÍPE,BA,20309,12975,8235,3499
ITAMARAJU,BA,64423,35523,16691,15716
ITAMBÉ,BA,22474,14508,9489,3594
ITANAGRA,BA,6433,4628,3544,716
MATA DE SÃO JOÃO,BA,47643,32478,23179,5837
ITANHÉM,BA,19231,11058,6510,3401
VEREDA,BA,6105,5341,3406,1459
ITAPARICA,BA,22440,14281,10658,2355
VERA CRUZ,BA,44185,27490,19849,5034
ITAPÉ,BA,8300,6608,4021,1935
ITAPEBI,BA,10173,5872,4103,1265
ITAPETINGA,BA,77408,38580,19052,15715
ITAPITANGA,BA,10284,4656,3198,1084
ITAPICURU,BA,36173,17868,13715,2266
ITAQUARA,BA,8375,4950,3447,1004
ITARANTIM,BA,19937,10737,6164,3658
ITATIM,BA,14588,9503,6357,2210
SANTA TEREZINHA,BA,10520,7605,5612,1257
ITIRUÇU,BA,12482,7574,5136,1653
LAJEDO DO TABOCAL,BA,8591,4624,3430,746
ITIÚBA,BA,36140,21724,14896,4921
ITORORÓ,BA,20394,12562,7555,3782
ITUAÇU,BA,19095,12495,8148,2949
ITUBERÁ,BA,28870,13448,7662,4261
JACARACI,BA,14855,8826,6682,1371
JACOBINA,BA,80749,47895,32313,10729
JAGUARARI,BA,33915,17607,12274,3380
JAGUARIPE,BA,19162,11930,8935,1786
JANDAÍRA,BA,10742,6502,5061,902
JEQUIÉ,BA,156277,93720,55276,27874
JEREMOABO,BA,40832,22645,17545,3240
JIQUIRIÇÁ,BA,14576,8723,6306,1525
JITAÚNA,BA,10470,9529,6397,2108
JUCURUÇU,BA,8856,6486,4189,1583
JUSSARA,BA,15241,10552,8970,806
JUSSIAPE,BA,5777,5560,3899,1070
LAFAIETE COUTINHO,BA,3663,3345,2497,512
JUAZEIRO,BA,219544,130688,82560,37379
LAGOA REAL,BA,15870,8356,6563,974
LAJE,BA,24214,15764,10847,3501
LAJEDINHO,BA,3735,2792,2110,411
LAMARÃO,BA,8078,6004,5014,529
PLANALTINO,BA,9415,5427,4069,787
MARACÁS,BA,19973,16245,11838,2843
PALMEIRAS,BA,9123,6526,5293,760
LAURO DE FREITAS,BA,204669,123303,74506,34005
LICÍNIO DE ALMEIDA,BA,12357,7833,5394,1698
LIVRAMENTO DE NOSSA SENHORA,BA,46372,27108,19654,5168
RIO DE CONTAS,BA,12878,9867,6962,1915
MACAJUBA,BA,11318,7326,5138,1375
MACARANI,BA,19056,9731,5424,3222
MACURURÉ,BA,7752,5255,4209,603
NOVA BRASILÂNDIA D'OESTE,RO,20504,10518,2785,6909
MAIQUINIQUE,BA,10294,5763,3295,1929
MAIRI,BA,18535,10657,7524,1945
MALHADA,BA,16875,10533,7190,2601
MANOEL VITORINO,BA,12944,9919,7707,1392
MARAGOGIPE,BA,44902,27288,20846,4123
SÃO FÉLIX,BA,14784,8422,6548,1061
MARCIONÍLIO SOUZA,BA,10357,5759,4252,956
MASCOTE,BA,13619,6906,4796,1558
MATINA,BA,12359,7622,6273,673
MEDEIROS NETO,BA,22741,14367,8089,5085
MIGUEL CALMON,BA,25771,16065,10530,3942
MILAGRES,BA,10838,7163,5078,1517
MIRANGABA,BA,18603,9734,7212,1690
MIRANTE,BA,8264,5825,4368,948
MORPARÁ,BA,8476,5902,4139,1343
MONTE SANTO,BA,49145,32430,26669,3250
MORRO DO CHAPÉU,BA,35466,20480,14845,3608
MORTUGABA,BA,12063,7027,4080,2184
MUCURI,BA,42729,21940,11502,8540
MULUNGU DO MORRO,BA,10469,8570,7141,739
MUNDO NOVO,BA,27153,11532,8409,1845
MUNIZ FERREIRA,BA,7464,6190,4575,1059
SANTO ANTÔNIO DE JESUS,BA,103204,61481,38506,16698
MUQUÉM DO SÃO FRANCISCO,BA,11479,7410,5581,1415
MUTUÍPE,BA,22340,14041,9398,2933
NAZARÉ,BA,28661,17840,12977,3307
NILO PEÇANHA,BA,14156,7787,5323,1515
NOVA CANAÃ,BA,16482,9311,6842,1598
NOVA FÁTIMA,BA,7830,6162,4316,1182
NOVA ITARANA,BA,8328,4732,3356,922
NOVA REDENÇÃO,BA,9126,4899,4042,508
NOVA SOURE,BA,27047,15947,12760,1707
NOVA VIÇOSA,BA,44170,22534,11154,9335
NOVO TRIUNFO,BA,15445,6230,4727,885
OLINDINA,BA,28373,14930,11800,1907
OURIÇANGAS,BA,8575,5462,4275,556
OUROLÂNDIA,BA,17567,10916,6429,3688
PALMAS DE MONTE ALTO,BA,21840,13932,11048,1715
RIO DO PIRES,BA,11672,6775,5025,1136
PARATINGA,BA,32274,17907,14303,2420
PAU BRASIL,BA,9550,5844,3219,2130
PEDRÃO,BA,7438,4875,4023,430
PAULO AFONSO,BA,119213,64897,48400,11479
SANTA BRÍGIDA,BA,13917,9072,7201,1087
PEDRO ALEXANDRE,BA,16698,7779,6044,885
PIATÃ,BA,16854,12551,8255,2441
PILÃO ARCADO,BA,35295,21461,17063,2785
PINDAÍ,BA,16308,10435,7764,1657
PINDOBAÇU,BA,20048,12493,8299,3235
PIRAÍ DO NORTE,BA,10050,5736,3910,1228
PIRITIBA,BA,25162,11181,7816,2267
PLANALTO,BA,26581,15616,10085,3671
POJUCA,BA,40401,22464,15608,3960
POÇÕES,BA,46885,27874,19564,5613
PONTO NOVO,BA,14729,10486,7707,1775
POTIRAGUÁ,BA,6623,6047,3628,1902
PORTO SEGURO,BA,152529,80006,42686,30911
SANTA CRUZ CABRÁLIA,BA,28058,16698,9702,5469
PRADO,BA,28214,17745,9505,6936
PRESIDENTE DUTRA,BA,15180,9085,7668,915
PRESIDENTE JÂNIO QUADROS,BA,12028,7804,5966,1107
PRESIDENTE TANCREDO NEVES,BA,28272,17274,11142,4134
QUEIMADAS,BA,25428,16740,11741,3463
QUIJINGUE,BA,27672,14880,11319,2084
REMANSO,BA,41324,24785,19164,3628
RETIROLÂNDIA,BA,14588,10203,7564,1669
RIACHÃO DO JACUÍPE,BA,33498,22887,17622,3160
RIACHÃO DAS NEVES,BA,22330,14829,10976,2878
RIACHO DE SANTANA,BA,35757,18557,14802,2211
RIBEIRA DO AMPARO,BA,14631,9311,7075,1250
RIBEIRA DO POMBAL,BA,54097,33819,24152,6613
RIO DO ANTÔNIO,BA,15521,8522,6416,1322
RIO REAL,BA,41209,22259,14650,4857
RODELAS,BA,9548,6056,4823,893
RUY BARBOSA,BA,30900,18282,12842,3580
SALINAS DA MARGARIDA,BA,16047,11277,8823,1477
SANTA BÁRBARA,BA,20971,15824,11958,2542
SANTA CRUZ DA VITÓRIA,BA,6241,3401,2005,1011
SANTA INÊS,BA,10583,5910,4649,748
SANTALUZ,BA,37704,25090,17348,5101
SANTA MARIA DA VITÓRIA,BA,39707,24446,16657,5607
SANTANA,BA,26792,16377,11374,3723
SANTANÓPOLIS,BA,8987,7258,5558,974
SANTO AMARO,BA,60190,39040,30223,4727
SÃO DESIDÉRIO,BA,34764,20249,13454,5373
SÃO DOMINGOS,BA,9085,5808,3994,1212
VALENTE,BA,29111,17188,10518,4584
SÃO FELIPE,BA,21083,13524,9723,2534
SÃO FÉLIX DO CORIBE,BA,15543,9829,5909,2993
SÃO FRANCISCO DO CONDE,BA,40664,26835,20955,3343
SÃO JOSÉ DO JACUÍPE,BA,10546,6292,4379,1127
SALVADOR,BA,2900319,1627906,1022728,367452
SÃO SEBASTIÃO DO PASSÉ,BA,44554,27876,22275,3069
SAPEAÇU,BA,17421,12736,9300,2120
SÁTIRO DIAS,BA,17330,10339,7526,1671
SAUBARA,BA,12163,9973,7339,1689
SAÚDE,BA,12971,6865,4932,1252
NOVO HORIZONTE,BA,12653,7603,5571,1373
SEBASTIÃO LARANJEIRAS,BA,11586,5607,3931,1167
SENHOR DO BONFIM,BA,79813,41726,25238,11990
SENTO SÉ,BA,41279,22900,16270,5064
SÍTIO DO MATO,BA,13104,8641,6333,1730
SERRA PRETA,BA,14531,13542,10663,1770
SERRINHA,BA,81693,51235,35341,10496
SERROLÂNDIA,BA,13490,8361,5486,1938
SIMÕES FILHO,BA,137117,70532,46408,15715
SOUTO SOARES,BA,17118,11161,9615,895
TANHAÇU,BA,20383,13505,9641,2653
TANQUINHO,BA,7936,6123,4621,1087
TAPEROÁ,BA,21421,10698,7509,2035
TAPIRAMUTÁ,BA,16939,8368,6230,1155
TEODORO SAMPAIO,BA,7296,5554,4580,463
TEOLÂNDIA,BA,15097,9282,6679,1755
TERRA NOVA,BA,13018,8228,6246,1089
TREMEDAL,BA,15996,11094,8036,1902
UAUÁ,BA,23991,17109,13638,1999
TUCANO,BA,50903,31477,23420,5309
UBAÍRA,BA,19860,12410,8187,2948
UBAITABA,BA,18647,10649,6278,3310
UBATÃ,BA,27481,9279,5618,2674
UIBAÍ,BA,13894,9766,7339,1644
UMBURANAS,BA,19573,8918,5932,2182
UNA,BA,18108,11870,6485,3911
URANDI,BA,16672,10225,7707,1749
URUÇUCA,BA,20312,13818,7916,4617
UTINGA,BA,19330,9777,7225,1705
VALENÇA,BA,97873,50209,30478,13254
MACHADINHO D'OESTE,RO,41724,16522,4730,10612
VÁRZEA DO POÇO,BA,9247,5401,3717,1152
VARZEDO,BA,8734,7219,5045,1554
WAGNER,BA,9342,5318,3884,969
WENCESLAU GUIMARÃES,BA,20862,12101,8064,2834
VITÓRIA DA CONQUISTA,BA,343643,211323,111892,73828
LAPÃO,BA,27323,18317,13753,3301
MADRE DE DEUS,BA,21754,13199,9982,2151
MANSIDÃO,BA,13822,7082,5517,1021
NORDESTINA,BA,13197,6822,5163,1060
PÉ DE SERRA,BA,13535,9535,5988,2413
PINTADAS,BA,10353,6507,3893,1929
RAFAEL JAMBEIRO,BA,22643,13789,9704,2680
SANTA LUZIA,BA,12308,6412,4055,1708
SÃO GABRIEL,BA,18785,12955,10764,1320
SÍTIO DO QUINTO,BA,9431,7667,5885,1075
TANQUE NOVO,BA,17518,10822,8433,1409
SÃO JOSÉ DA VITÓRIA,BA,5562,3783,2139,1266
TEIXEIRA DE FREITAS,BA,164290,81693,38327,35936
VÁRZEA NOVA,BA,12556,8070,5571,1613
NOVA IBIÁ,BA,6518,3832,2354,1120
VÁRZEA DA ROÇA,BA,14135,8396,5830,1477
SOBRADINHO,BA,23274,15301,11129,3023
WANDERLEY,BA,12125,8461,5814,2201
ALFREDO VASCONCELOS,MG,7052,4896,2617,1564
ABADIA DOS DOURADOS,MG,7022,4606,2228,1869
ARAPORÃ,MG,6992,5071,2412,2192
ABAETÉ,MG,23263,14188,6119,6504
BRASILÂNDIA DE MINAS,MG,16950,8963,5056,3294
ABRE CAMPO,MG,13434,9157,5004,3139
GOIANÉSIA DO PARÁ,PA,41678,16281,9008,6085
CAPITÃO ANDRADE,MG,5559,2779,1264,1224
ACAIACA,MG,3995,2661,1702,665
CARNEIRINHO,MG,10103,6100,3032,2637
AÇUCENA,MG,9270,5593,3124,1856
CATUJI,MG,6206,6183,4249,1290
ITAIPÉ,MG,12910,6226,3935,1493
ÁGUA BOA,MG,13319,7754,4612,2418
DIVISA ALEGRE,MG,6946,4334,2522,1262
ÁGUA COMPRIDA,MG,1986,1815,744,923
DIVISÓPOLIS,MG,11396,5972,3638,1658
AGUANIL,MG,4557,3167,1500,1235
ABAETETUBA,PA,160439,99959,70766,22267
DURANDÉ,MG,7898,5045,2740,1825
ÁGUAS FORMOSAS,MG,19285,11329,6083,4075
ENTRE FOLHAS,MG,5383,4697,2305,1983
ÁGUAS VERMELHAS,MG,13656,6689,4265,1601
FERVEDOURO,MG,11100,6608,3598,2310
AIMORÉS,MG,25116,14150,6036,6976
TAILÂNDIA,PA,111554,40305,20617,16644
FRANCISCÓPOLIS,MG,5287,3387,2233,819
AIURUOCA,MG,5949,3932,1914,1545
ICARAÍ DE MINAS,MG,12200,6232,4313,1505
ALAGOA,MG,2657,1927,606,1091
IPABA,MG,18926,9091,4269,4092
IPATINGA,MG,267333,139336,45780,79836
ALBERTINA,MG,3015,2625,787,1584
JAÍBA,MG,39850,19222,11109,6511
ALÉM PARAÍBA,MG,35438,21703,11319,8227
ACARÁ,PA,55744,37614,24143,9994
JAMPRUCA,MG,5453,3057,1996,781
JUATUBA,MG,27823,18509,8266,7648
ALFENAS,MG,80973,46752,17911,23422
ALMENARA,MG,42380,21984,14645,5235
LAGOA GRANDE,MG,9681,5758,3137,2159
ALPERCATA,MG,7448,4580,2412,1772
LIMEIRA DO OESTE,MG,7640,4980,2666,1964
ALPINÓPOLIS,MG,20059,12392,5271,5736
LONTRA,MG,9766,5904,4112,1247
ALTEROSA,MG,14566,9891,4127,4829
MAMONAS,MG,6565,4671,3049,1190
ALTO RIO DOCE,MG,10723,7548,5052,1602
MATA VERDE,MG,8700,5156,2780,1801
ALVARENGA,MG,3783,3406,1823,1369
MATIAS CARDOSO,MG,11360,5107,3428,1209
MONTEZUMA,MG,8379,4250,2587,1060
ALVINÓPOLIS,MG,15135,10299,6437,2662
ALVORADA DE MINAS,MG,3605,2889,2016,542
SERRO,MG,20915,12107,8131,2573
NAQUE,MG,7104,4051,2186,1491
BOM JESUS DO TOCANTINS,PA,17254,8705,4541,3477
AMPARO DO SERRA,MG,4643,3634,2551,710
NOVO ORIENTE DE MINAS,MG,10800,5865,3836,1334
PALMÓPOLIS,MG,5196,4115,2737,848
ANDRADAS,MG,41704,23147,7031,12985
JACUTINGA,MG,26538,14512,3684,9237
IBITIÚRA DE MINAS,MG,3497,2958,802,1803
CACHOEIRA DE PAJEÚ,MG,9470,5019,3231,1287
PEDRAS DE MARIA DA CRUZ,MG,12313,5589,4137,1064
ANDRELÂNDIA,MG,12189,7376,3718,2544
PERIQUITO,MG,6738,4854,2485,2018
AFUÁ,PA,39910,21187,12781,5785
ANTÔNIO CARLOS,MG,11471,7756,4576,2134
PONTO DOS VOLANTES,MG,12235,6438,4059,1592
ANTÔNIO DIAS,MG,9233,6757,3493,2440
RIACHINHO,MG,8132,4204,2589,1245
ANTÔNIO PRADO DE MINAS,MG,1577,1513,842,536
ROSÁRIO DA LIMEIRA,MG,4648,4342,2413,1368
ARAÇAÍ,MG,2360,1974,1048,657
SANTA BÁRBARA DO LESTE,MG,8212,5677,2611,2413
SÃO JOÃO DE PIRABAS,PA,23440,13939,9210,3592
ARACITABA,MG,2056,2021,1185,572
SANTA RITA DE MINAS,MG,7322,4769,2113,2130
ARAÇUAÍ,MG,36715,19273,11978,5565
SANTANA DO PARAÍSO,MG,36048,18000,6817,9595
SÃO JOÃO DA LAGOA,MG,4949,3733,2616,776
ARAGUARI,MG,118361,69072,24703,36783
ARANTINA,MG,2779,2200,1386,538
SÃO JOÃO DO MANHUAÇU,MG,11785,7293,3356,3460
ALENQUER,PA,57390,33164,15865,14421
CURUÁ,PA,14776,8749,6322,1803
ARAPONGA,MG,8467,5349,3575,1045
SÃO JOÃO DO MANTENINHA,MG,5975,3775,1822,1636
ARAPUÁ,MG,2836,2481,828,1333
SÃO JOÃO DO PACUÍ,MG,4476,2920,2090,535
ARAÚJOS,MG,9523,5336,2003,2705
SÃO JOSÉ DA LAPA,MG,24490,16206,6766,7307
SARZEDO,MG,34050,20516,8277,9481
ARAXÁ,MG,108403,63155,25928,28343
TUCUMÃ,PA,40661,20352,6862,12354
ARCEBURGO,MG,10990,5900,2275,2843
ARCOS,MG,40658,26026,10064,11953
SENADOR AMARAL,MG,5365,4370,1736,2191
AREADO,MG,15288,8966,3335,4467
UBAPORANGA,MG,12514,7924,3255,3909
ARGIRITA,MG,2681,2318,1531,607
URUCUIA,MG,17470,5414,3240,1665
ARINOS,MG,17850,9646,5555,3210
ALMEIRIM,PA,34044,17679,11781,4798
VARGEM ALEGRE,MG,6460,4321,2249,1734
ASTOLFO DUTRA,MG,14358,8700,4266,3665
JOSENÓPOLIS,MG,4911,2239,1554,475
ATALÉIA,MG,12496,7268,4672,1966
LADAINHA,MG,18272,8062,5277,1697
PAVÃO,MG,8390,5141,3252,1376
JUVENÍLIA,MG,5706,3838,2438,1049
AUGUSTO DE LIMA,MG,4833,2887,1589,977
JOAQUIM FELÍCIO,MG,4757,2966,1563,1019
LEME DO PRADO,MG,4923,2923,1980,620
BAEPENDI,MG,19249,12195,4084,6702
LUISBURGO,MG,6249,4410,1647,2227
BALDIM,MG,7780,5574,2670,2160
LUISLÂNDIA,MG,6735,4576,3633,676
BAMBUÍ,MG,23964,14478,7173,5532
MÁRIO CAMPOS,MG,15814,9983,4270,4297
BANDEIRA,MG,4738,3242,2329,515
MÃE DO RIO,PA,30389,19538,10003,7738
MARTINS SOARES,MG,8640,6077,3185,2388
BANDEIRA DO SUL,MG,5808,3901,1468,1976
POÇOS DE CALDAS,MG,169838,92152,34243,45508
MIRAVÂNIA,MG,4939,2622,1833,506
MONTE FORMOSO,MG,4939,3252,2233,639
BARÃO DE COCAIS,MG,33232,19767,10079,6613
BARÃO DE MONTE ALTO,MG,5311,4311,2663,1297
NATALÂNDIA,MG,3306,2400,1430,789
ALTAMIRA,PA,117320,65093,23403,36642
BARBACENA,MG,139061,79994,40846,28281
NINHEIRA,MG,10355,5608,3306,1381
BARRA LONGA,MG,4905,4396,2971,942
NOVA BELÉM,MG,3067,2343,1219,911
MANTENA,MG,27651,15481,5990,8098
TRÊS MARIAS,MG,33062,18166,8462,7792
NOVORIZONTE,MG,5348,3474,1921,1084
BARROSO,MG,20981,13759,7390,4459
DORES DE CAMPOS,MG,10291,7021,3112,2765
NOVA PORTEIRINHA,MG,7493,4714,2870,1431
BELA VISTA DE MINAS,MG,10269,6530,3902,1889
BELMIRO BRAGA,MG,3422,2447,1532,694
ORATÓRIOS,MG,4671,3479,2440,671
ORIZÂNIA,MG,8138,4983,2648,1881
BELO ORIENTE,MG,27277,14862,7341,6172
PADRE CARVALHO,MG,6466,3173,2098,776
BELO VALE,MG,7723,6534,3569,2132
PAI PEDRO,MG,6098,3939,2774,754
BERILO,MG,11813,6877,4779,1323
PATIS,MG,6031,3836,2976,610
BERTÓPOLIS,MG,4609,3416,2275,824
PEDRA BONITA,MG,7157,4806,2148,2163
PIEDADE DE CARATINGA,MG,8832,5876,2556,2772
BIAS FORTES,MG,3282,2944,1960,626
BICAS,MG,14612,8951,4428,3470
ANAJÁS,PA,30091,15780,7161,6827
PINTÓPOLIS,MG,7540,4265,2932,918
BIQUINHAS,MG,2482,1971,958,772
PONTO CHIQUE,MG,4305,2630,1961,436
BETIM,MG,450024,247489,106684,105877
REDUTO,MG,7247,4486,2265,1846
BOA ESPERANÇA,MG,40308,24351,10777,10598
BOCAINA DE MINAS,MG,5088,3530,1782,1280
SANTA BÁRBARA DO MONTE VERDE,MG,3212,2612,1522,819
BOCAIÚVA,MG,50521,28328,18720,6950
SANTA LUZIA DO PARÁ,PA,19839,13794,9564,3070
SANTA CRUZ DE MINAS,MG,8723,5309,2137,2378
SANTA CRUZ DE SALINAS,MG,4074,2988,2226,391
BOM DESPACHO,MG,51436,30238,9517,16473
BOM JARDIM DE MINAS,MG,6444,4635,2531,1485
SANTA HELENA DE MINAS,MG,6406,3834,2551,814
BOM JESUS DA PENHA,MG,4270,2827,974,1457
SANTO ANTÔNIO DO RETIRO,MG,7316,4547,2919,1075
BOM JESUS DO AMPARO,MG,6182,4020,2229,1219
SÃO DOMINGOS DAS DORES,MG,5672,4136,1812,1871
IAPU,MG,11085,7194,3308,3295
BOM JESUS DO GALHO,MG,14792,9269,4759,3618
CARATINGA,MG,93124,48056,20672,22023
SÃO FÉLIX DE MINAS,MG,3354,2443,1226,981
BOM REPOUSO,MG,10527,7520,3431,3206
SÃO GERALDO DO BAIXIO,MG,4104,2284,1169,905
BOM SUCESSO,MG,17612,11174,5379,4212
SANTO ANTÔNIO DO AMPARO,MG,18697,11741,7140,3156
SÃO JOÃO DAS MISSÕES,MG,13232,7094,5008,1441
BONFIM,MG,6852,5565,2756,1850
PALESTINA DO PARÁ,PA,7575,4610,2651,1687
BELO HORIZONTE,MG,2530701,1570361,638002,699105
ANANINDEUA,PA,540410,287652,126428,121572
SÃO JOAQUIM DE BICAS,MG,32696,16769,8235,6394
BONFINÓPOLIS DE MINAS,MG,5397,3588,1996,1260
SÃO JOSÉ DA BARRA,MG,7532,5119,2304,2214
BORDA DA MATA,MG,19809,9634,3421,4779
POUSO ALEGRE,MG,154293,88442,32151,43874
ALTO CAPARAÓ,MG,5938,3631,1018,2385
BOTELHOS,MG,14927,9757,4964,3735
ANGELÂNDIA,MG,8594,4693,2360,1793
BOTUMIRIM,MG,6259,3822,2740,644
ARICANDUVA,MG,5305,3456,2172,849
AUGUSTO CORRÊA,PA,46937,28815,19088,6634
BRASÍLIA DE MINAS,MG,32460,19496,12775,4795
BERIZAL,MG,4792,3129,1991,740
BRÁS PIRES,MG,4255,3242,1858,1051
BRAÚNAS,MG,4737,3073,1703,1020
BONITO DE MINAS,MG,11502,5785,4416,826
BUGRE,MG,3984,3224,1530,1414
BRAZÓPOLIS,MG,14364,10342,3938,4749
PIRANGUÇU,MG,5504,3220,1154,1628
CABECEIRA GRANDE,MG,7025,4109,1977,1736
BRUMADINHO,MG,41208,25974,11438,10520
SÃO MIGUEL DO GUAPORÉ,RO,23147,12928,3986,7845
CAMPO AZUL,MG,3830,2663,2009,446
UBAÍ,MG,12661,7196,5143,1406
BUENO BRANDÃO,MG,10982,6777,2028,3794
SÃO JOÃO EVANGELISTA,MG,15761,9390,6297,2211
CANTAGALO,MG,4575,2394,1587,521
BUENÓPOLIS,MG,10342,4928,2837,1490
CATAS ALTAS,MG,5465,3905,2047,1202
BURITIS,MG,25179,14154,6318,6588
CATUTI,MG,4944,3319,2221,707
CHAPADA GAÚCHA,MG,14217,6513,4070,1917
BURITIZEIRO,MG,28184,14313,7642,5062
CABO VERDE,MG,14074,7602,3724,3138
IPIXUNA DO PARÁ,PA,67170,17599,10964,5222
AURORA DO PARÁ,PA,32200,14377,9632,3546
CÔNEGO MARINHO,MG,7730,4850,3691,636
CACHOEIRA DA PRATA,MG,3580,2867,1381,1109
CONFINS,MG,6867,5563,2253,2649
CACHOEIRA DE MINAS,MG,11609,7838,2597,4092
CÓRREGO FUNDO,MG,6425,4293,1598,1897
CRISÓLITA,MG,6814,3380,2330,706
CACHOEIRA DOURADA,MG,2720,2381,1470,725
AVEIRO,PA,16421,10512,5597,4198
CAETANÓPOLIS,MG,11869,7023,2756,3266
CUPARAQUE,MG,5026,2854,1083,1564
CAETÉ,MG,45364,26922,12904,9555
CURRAL DE DENTRO,MG,7867,4645,2580,1560
CAIANA,MG,5584,3442,1844,1240
DELTA,MG,10994,5343,3125,1731
DOM BOSCO,MG,3635,2709,1219,1307
CAJURI,MG,3961,3759,2503,860
FREI LAGONEGRO,MG,3496,2626,1623,668
CALDAS,MG,14600,8513,3088,4279
CAMACHO,MG,2839,2550,1383,869
FRUTA DE LEITE,MG,5232,3192,2254,507
CAMANDUCAIA,MG,21831,13283,5262,6420
ITAPEVA,MG,9976,7019,2484,3735
GAMELEIRAS,MG,5084,3507,2249,941
CAMBUÍ,MG,30068,16763,6242,7825
GLAUCILÂNDIA,MG,3177,3116,2132,744
CAMBUQUIRA,MG,12810,7811,3450,3227
GOIABEIRA,MG,3402,2276,903,1138
CAMPANÁRIO,MG,3739,2271,1413,643
GOIANÁ,MG,4014,3217,1651,1236
CAMPANHA,MG,16855,9608,3234,5149
GUARACIAMA,MG,5005,3966,3102,546
BAGRE,PA,31967,12501,9252,2448
CAMPESTRE,MG,21052,13007,4395,6701
IBIRACATU,MG,5340,4003,2916,710
CAMPINA VERDE,MG,19759,10968,5017,5048
IMBÉ DE MINAS,MG,6976,4254,2383,1507
INDAIABIRA,MG,7328,4225,2192,1561
CAMPO BELO,MG,54338,30266,11575,14632
CAMPO DO MEIO,MG,11648,7766,4310,2643
JAPONVAR,MG,7991,5828,4340,936
BRASIL NOVO,PA,14883,12178,3875,7470
JENIPAPO DE MINAS,MG,7781,3709,2556,767
CAMPO FLORIDO,MG,8383,4961,2647,1973
CAMPOS ALTOS,MG,15661,7349,2818,3759
JOSÉ GONÇALVES DE MINAS,MG,4474,2616,1740,563
CAMPOS GERAIS,MG,28908,15654,6428,7413
JOSÉ RAYDAN,MG,5104,2789,1650,826
CANAÃ,MG,4533,3580,2416,709
SÃO SEBASTIÃO DA VARGEM ALEGRE,MG,3039,2339,1216,837
BAIÃO,PA,49454,21139,15094,4653
CANÁPOLIS,MG,12251,6415,3815,2091
SÃO SEBASTIÃO DO ANTA,MG,6697,3992,1856,1773
CANA VERDE,MG,5585,3875,1850,1671
SERRANÓPOLIS DE MINAS,MG,4836,3041,2020,734
CANDEIAS,MG,14890,9310,4020,3888
SETUBINHA,MG,12493,5785,4151,949
CAPARAÓ,MG,5464,3417,1320,1775
TAPARUBA,MG,3093,2817,1587,990
SANTA BÁRBARA DO PARÁ,PA,21811,13317,6830,5023
CAPELA NOVA,MG,4616,3705,2094,979
UNIÃO DE MINAS,MG,4265,2454,1432,882
URUANA DE MINAS,MG,3256,2560,1268,1068
CAPELINHA,MG,38321,21653,11470,7616
VARGEM GRANDE DO RIO PARDO,MG,5045,3150,1401,1363
CAPETINGA,MG,6860,4183,1839,1853
CAPIM BRANCO,MG,9896,6808,2679,3143
VARJÃO DE MINAS,MG,7235,4884,2427,2012
PATOS DE MINAS,MG,154641,88432,29210,47944
CAPINÓPOLIS,MG,16294,8896,4891,3314
BARCARENA,PA,129333,77770,46430,23416
VERDELÂNDIA,MG,9527,4874,3399,1083
CAPITÃO ENÉAS,MG,15388,8862,5885,2133
FRANCISCO SÁ,MG,26459,14947,10172,3345
VEREDINHA,MG,5733,3521,2370,766
TURMALINA,MG,20280,12452,8232,3028
CAPITÓLIO,MG,8693,5734,2116,3038
VERMELHO NOVO,MG,4852,3799,1973,1355
CAPUTIRA,MG,9318,6398,3541,2138
TOCOS DO MOJI,MG,4117,3338,1631,1164
CARAÍ,MG,23872,9589,6569,1783
ÁGUA AZUL DO NORTE,PA,27797,7102,2871,3812
XINGUARA,PA,45416,27893,10083,15883
CARANAÍBA,MG,3150,2646,1396,835
CARANDAÍ,MG,25831,17158,8401,6309
CARANGOLA,MG,33022,18892,9422,7390
CARBONITA,MG,9423,5775,3458,1656
CAREAÇU,MG,6826,4016,1711,1869
CARLOS CHAGAS,MG,18516,11211,6409,3668
CARMÉSIA,MG,2660,1802,1028,567
CARMO DA CACHOEIRA,MG,12193,7266,3788,2407
CARMO DA MATA,MG,11546,7875,4287,2550
CARMO DE MINAS,MG,15031,7859,3448,3462
CARMO DO CAJURU,MG,22900,15400,6416,6747
TRAIRÃO,PA,19344,9054,2805,5721
CARMO DO PARANAÍBA,MG,30339,16760,5538,9356
CARMO DO RIO CLARO,MG,21310,12317,4816,6068
CARMÓPOLIS DE MINAS,MG,19756,11583,5274,4801
CARRANCAS,MG,4052,2756,1375,1032
CARVALHÓPOLIS,MG,3614,2962,1195,1514
BENEVIDES,PA,64780,38098,19270,14975
CARVALHOS,MG,4445,3258,1520,1218
CASA GRANDE,MG,2251,2216,920,956
CASCALHO RICO,MG,3108,2448,1018,1226
ESTRELA DO SUL,MG,8057,4670,2599,1647
CÁSSIA,MG,17741,10457,4609,4566
CONCEIÇÃO DA BARRA DE MINAS,MG,3939,3073,1636,1026
