MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
BOMBINHAS,SC,12456,13508,3469,8467
CORDILHEIRA ALTA,SC,3361,3430,1185,1972
BOM JESUS,SC,2296,2981,1355,1441
GAROPABA,SC,16399,17400,6265,9098
ERMO,SC,1843,1969,486,1317
JUPIÁ,SC,2134,2185,896,1079
PALMEIRA,SC,2334,2356,807,1275
ITAPEMA,SC,33766,39440,8987,27073
ITAPOÁ,SC,10719,13684,3848,8471
JABORÁ,SC,4032,4231,1077,2647
BALNEÁRIO GAIVOTA,SC,7307,7740,2621,4344
BALNEÁRIO PIÇARRAS,SC,13760,14411,3642,9472
VILA LÂNGARO,RS,2230,3170,888,1963
GRAMADO DOS LOUREIROS,RS,2370,2699,1452,1031
SÃO VENDELINO,RS,1794,2333,599,1389
ARAMBARÉ,RS,3825,5697,2359,2682
COLINAS,RS,2404,3667,1037,2091
SALDANHA MARINHO,RS,2982,4131,1377,2333
IMBÉ,RS,14940,15301,5944,7485
TUPANDI,RS,3604,3734,801,2560
CAPÃO DO CIPÓ,RS,3180,3266,1644,1313
CORONEL BARROS,RS,2441,2458,800,1368
CAPÃO BONITO DO SUL,RS,1837,1969,889,857
MATO LEITÃO,RS,3585,3959,1265,2185
NICOLAU VERGUEIRO,RS,1759,1789,613,1014
ITATI,RS,2677,2686,1116,1284
ACORIZAL,MT,5530,5754,3041,2322
QUERÊNCIA,MT,10682,10741,2786,7473
LUCAS DO RIO VERDE,MT,30741,37124,9278,25571
NOVA MUTUM,MT,24368,24771,6198,17140
IPIRANGA DO NORTE,MT,4129,4462,1118,3110
MORRO AGUDO DE GOIÁS,GO,2339,2371,861,1310
AMORINÓPOLIS,GO,3527,3737,1560,1801
ARAGOIÂNIA,GO,7243,7301,3084,3466
AVELINÓPOLIS,GO,2375,2743,1026,1481
SANTA TEREZA DO TOCANTINS,TO,2297,2466,1167,1074
BARRO ALTO,GO,6446,7310,3129,3478
GOIANIRA,GO,24110,31439,13046,14842
RIO QUENTE,GO,2959,3245,1207,1702
CACHOEIRA DE GOIÁS,GO,1410,1426,634,643
SANTO ANTÔNIO DE GOIÁS,GO,3893,4917,2098,2331
CHAPADÃO DO CÉU,GO,5289,6502,2086,3998
ALTO HORIZONTE,GO,3136,4566,1840,2426
OUVIDOR,GO,4736,6949,3524,2752
BURITI DE GOIÁS,GO,2238,2636,837,1575
ABADIA DE GOIÁS,GO,5868,9258,3649,4710
DAMOLÂNDIA,GO,2688,2800,1242,1171
DAVINÓPOLIS,GO,2013,2685,1547,887
HIDROLÂNDIA,GO,14004,14664,5899,6832
TAQUARAL DE GOIÁS,GO,3404,3498,1380,1699
