MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
74934,68,122,PR,CASCAVEL,1295,1828626,682E303F,20220922T134900,206550659721561141352725,20221002T080001,20221002T172204,394,345,79,279
74934,68,124,PR,CASCAVEL,1295,1830237,682E303F,20220922T140300,428772095043111752476265,20221002T080001,20221002T174518,401,351,88,265
74934,68,125,PR,CASCAVEL,1295,1844750,2A00CDB6,20220923T155800,873217873673564525580889,20221002T080226,20221002T172147,387,331,73,270
74934,68,160,PR,CASCAVEL,1295,1804443,682E303F,20220922T141700,358065863536417495712779,20221002T080001,20221002T172627,391,329,87,254
74934,68,161,PR,CASCAVEL,1295,1844951,682E303F,20220922T142700,529782142453679172710670,20221002T080001,20221002T171421,386,320,74,262
74934,68,162,PR,CASCAVEL,1295,1829830,682E303F,20220922T143600,226752957923390346419528,20221002T080001,20221002T170247,388,328,67,279
74934,68,25,PR,CASCAVEL,1040,1843505,38D01620,20220922T113300,853015540154482374683008,20221002T080001,20221002T170135,435,361,64,265
74934,68,26,PR,CASCAVEL,1040,1778286,38D01620,20220922T114400,762106563945550003038319,20221002T080001,20221002T170723,437,365,55,272
74934,68,27,PR,CASCAVEL,1040,1768268,38D01620,20220922T115100,883318793657550748674357,20221002T080001,20221002T170231,440,369,63,275
74934,68,28,PR,CASCAVEL,1040,1843510,38D01620,20220922T120200,984328008067387461269545,20221002T080001,20221002T170020,441,366,72,256
74934,68,38,PR,CASCAVEL,1040,1829704,38D01620,20220922T123800,701500792339798966007956,20221002T080001,20221002T171420,437,378,62,282
74934,68,39,PR,CASCAVEL,1040,1830287,38D01620,20220922T124400,156045357884054431017783,20221002T080001,20221002T170239,433,355,66,260
74934,68,391,PR,CASCAVEL,1295,1778345,682E303F,20220922T150900,287358294529503399817423,20221002T080001,20221002T171306,391,319,68,262
74934,68,40,PR,CASCAVEL,1295,1844269,682E303F,20220922T125100,549984826055323578095037,20221002T080001,20221002T170159,397,350,79,277
75833,43,1,PR,GUARAPUAVA,1058,1174845,BC5BF07E,20220924T090400,650326763988071296555195,20221002T080001,20221002T181217,412,344,102,266
75833,43,12,PR,GUARAPUAVA,1058,1088469,BC5BF07E,20220924T093800,630124920786602394789654,20221002T080001,20221002T185315,399,327,80,271
75833,43,13,PR,GUARAPUAVA,1058,1101086,BC5BF07E,20220924T094500,044265447127899715541663,20221002T080001,20221002T182555,396,326,85,260
75833,43,2,PR,GUARAPUAVA,1058,1006370,BC5BF07E,20220924T164000,579518571880812345368627,20221002T081115,20221002T182756,401,331,82,260
75833,43,317,PR,GUARAPUAVA,1058,1095460,BC5BF07E,20220924T163300,488609489571845503354102,20221002T080001,20221002T185346,402,347,94,262
75833,43,368,PR,GUARAPUAVA,1619,1099735,462BEC8E,20220924T152700,215982783778652434855401,20221002T080001,20221002T190940,429,349,78,251
75833,43,430,PR,GUARAPUAVA,1872,1164948,BB58DFBC,20220924T153800,791740367673395100918231,20221002T080001,20221002T175745,410,358,65,268
76678,146,196,PR,LONDRINA,1481,1661652,96017F27,20220925T082400,668869040783241868423712,20221002T080001,20221002T171114,413,363,86,253
76678,146,201,PR,LONDRINA,1481,1661687,10173F5B,20220926T100400,163819163597845218268846,20221002T080001,20221002T183553,412,366,73,263
76678,146,203,PR,LONDRINA,1481,1662731,96017F27,20220925T083700,911394421708793462523535,20221002T080440,20221002T180746,411,358,81,254
76678,146,204,PR,LONDRINA,1473,1659910,1535C039,20220925T101800,295132919083258791860392,20221002T080001,20221002T171158,400,365,52,261
76678,146,206,PR,LONDRINA,1473,1657163,1535C039,20220925T102600,052708897459967739686369,20221002T080001,20221002T172100,405,358,57,259
76678,146,207,PR,LONDRINA,1481,1663420,96017F27,20220925T085100,780081737295425067160252,20221002T080001,20221002T173332,406,336,75,252
76678,146,209,PR,LONDRINA,1481,1661648,96017F27,20220925T085700,062809239023126344131002,20221002T080001,20221002T172333,405,348,87,257
76678,146,210,PR,LONDRINA,1473,1660240,1535C039,20220925T104000,315334560685988385537354,20221002T080001,20221002T173835,403,356,60,251
76678,146,211,PR,LONDRINA,1481,1660394,96017F27,20220925T090300,396142751256838105955119,20221002T080001,20221002T174239,417,366,76,281
76678,146,212,PR,LONDRINA,1473,1659169,1535C039,20220925T104700,719374181225872331461581,20221002T080001,20221002T170014,402,346,42,267
76678,146,215,PR,LONDRINA,1481,1661835,96017F27,20220925T091600,083011886825822573493303,20221002T080001,20221002T180736,416,354,84,254
76678,146,225,PR,LONDRINA,1481,1661384,96017F27,20220925T094100,618364483278277157114674,20221002T080001,20221002T174612,412,348,71,254
76678,146,82,PR,LONDRINA,1171,1662023,469E0AB7,20220926T093400,608263384429473921029594,20221002T080001,20221002T180037,433,379,69,252
76830,121,240,PR,MARECHAL CÂNDIDO RONDON,1317,1320996,8EC7B413,20220925T170700,890923355729462034433779,20221002T080001,20221002T174623,332,301,17,270
77399,124,132,PR,PALOTINA,1104,1264097,86AED098,20220925T150700,236490751077582065815718,20221002T080001,20221002T190004,426,376,75,282
77496,72,199,PR,PARANAVAÍ,1279,1275678,8623E8E9,20220922T155600,214292925727674314696119,20221002T080001,20221002T171425,419,364,74,250
77917,30,27,PR,PRUDENTÓPOLIS,1040,1336198,6CB167DA,20220922T084400,533074444851021091754793,20221002T080001,20221002T182504,418,334,56,250
77917,30,62,PR,PRUDENTÓPOLIS,1198,1242099,AA03BD4E,20220922T083900,735094373866486352410557,20221002T080001,20221002T181224,431,332,39,266
77917,30,82,PR,PRUDENTÓPOLIS,1317,1272996,AA03BD4E,20220922T103100,280549066221665643608958,20221002T080001,20221002T180123,387,327,36,262
78174,62,42,PR,RIO AZUL,1058,2022503,F93AE28D,20220922T092700,299893794951924007776132,20221002T080001,20221002T174334,402,364,50,260
78239,11,104,PR,RIO NEGRO,1139,2075922,88230481,20220922T103700,058223584837853926658319,20221002T080001,20221002T180924,431,381,54,286
78255,59,18,PR,ROLÂNDIA,1040,1619680,144A7B08,20220923T110400,218455169418734530849772,20221002T080019,20221002T182238,432,342,50,263
78255,59,49,PR,ROLÂNDIA,1040,1626114,22DD7363,20220922T141300,875021146838657795219764,20221002T080001,20221002T174510,431,366,65,254
78255,59,51,PR,ROLÂNDIA,1040,1627783,22DD7363,20220922T142000,763910227627427587843913,20221002T080001,20221002T173310,432,351,51,255
78859,8,360,PR,SÃO JOSÉ DOS PINHAIS,1856,2095786,AFF86685,20220921T132300,458633149812128620624721,20221002T080001,20221002T171534,377,347,49,252
79219,125,59,PR,TERRA ROXA,1457,1110982,8D7E1CEF,20220923T112400,157993491105857802888888,20221002T080001,20221002T184514,426,361,83,260
79278,75,17,PR,TOLEDO,1040,1615381,C0674C0B,20220922T101100,557659398025758605753300,20221002T080001,20221002T170050,350,294,84,252
79278,75,20,PR,TOLEDO,1040,1615456,C0674C0B,20220922T103400,941598083864535518687771,20221002T080001,20221002T170124,341,300,88,252
79278,75,25,PR,TOLEDO,1040,1627960,C0674C0B,20220922T112000,284932979398617149486439,20221002T080001,20221002T175008,347,300,78,260
79278,75,259,PR,TOLEDO,1503,1615943,2E371790,20220921T103400,537457059456038747234863,20221002T080001,20221002T183043,418,345,43,282
79278,75,277,PR,TOLEDO,1546,1632787,2E371790,20220921T163900,385942824041899612435152,20221002T080001,20221002T182346,433,363,55,276
79278,75,423,PR,TOLEDO,1899,1610089,E4A57D15,20220921T121200,466750297771868514282537,20221002T080001,20221002T182354,387,340,30,288
79278,75,9,PR,TOLEDO,1023,1621236,3F9EBC23,20220922T110900,214225200438997216552160,20221002T080001,20221002T181733,420,358,73,253
79715,129,29,PR,SANTA HELENA,1031,1164932,553CF68D,20220924T123700,107332234245304618460236,20221002T080001,20221002T192210,409,355,51,286
79936,148,176,PR,TUPÃSSI,1031,1615427,5B49BDEB,20220920T095900,061431302630923001270920,20221002T080001,20221002T193216,436,381,48,317
80039,57,70,SC,AGROLÂNDIA,1015,1229919,7E4169A2,20220918T130800,929404417379287394201512,20221002T080001,20221002T172942,395,343,70,250
80039,57,73,SC,AGROLÂNDIA,1104,1288479,7E4169A2,20220918T133200,091121917896301286028087,20221002T080001,20221002T173819,368,327,48,253
80039,57,79,SC,AGROLÂNDIA,1015,1336627,7E4169A2,20220918T134000,444656928831608026608318,20221002T080001,20221002T173559,391,358,63,264
80039,57,84,SC,AGROLÂNDIA,1015,1227581,7E4169A2,20220918T134900,868898862673658375529943,20221002T080001,20221002T173443,394,336,44,277
80039,57,85,SC,AGROLÂNDIA,1015,1248425,7E4169A2,20220918T135700,555767668942291562278556,20221002T080001,20221002T170729,391,336,55,268
80080,32,21,SC,DOUTOR PEDRINHO,1023,1771327,0E400688,20220920T122200,048047295460443765470799,20221002T080001,20221002T182324,440,364,68,259
80187,58,130,SC,IRACEMINHA,1015,1681068,E53EC4EE,20220924T081200,176340470307435418408011,20221002T080001,20221002T190821,431,384,84,261
80233,2,1,SC,ANTÔNIO CARLOS,1015,1801883,C8525713,20220924T091700,743696851967463770772924,20221002T080001,20221002T172235,387,342,59,250
80233,2,110,SC,ANTÔNIO CARLOS,1040,1775237,C8525713,20220924T110600,986020148891738907328965,20221002T080001,20221002T170122,344,328,33,274
80233,2,124,SC,ANTÔNIO CARLOS,1015,1752785,C8525713,20220924T111300,026424691595654959963565,20221002T080001,20221002T173543,394,354,49,260
80233,2,5,SC,ANTÔNIO CARLOS,1015,1842984,C8525713,20220924T095000,087030632201675904572772,20221002T080001,20221002T182923,393,347,48,255
80233,2,7,SC,ANTÔNIO CARLOS,1031,1778435,C8525713,20220924T100400,713393488464213886368565,20221002T080001,20221002T191108,440,387,53,301
80233,2,92,SC,ANTÔNIO CARLOS,1015,1845980,C8525713,20220924T105200,238545082816045718736260,20221002T080001,20221002T172337,387,355,63,261
80250,27,167,SC,ARAQUARI,1236,1777842,A71F5F88,20220917T113500,470438756302584570664368,20221002T080001,20221002T180055,485,380,102,252
80250,27,190,SC,ARAQUARI,1236,1821934,473887D6,20220917T104100,753266470309561681488709,20221002T080001,20221002T185920,504,383,102,250
80250,27,194,SC,ARAQUARI,1236,1777299,473887D6,20220917T105200,702761866204670208069968,20221002T080001,20221002T181138,544,426,121,266
80292,99,10,SC,ARMAZÉM,1120,1771984,A54D4056,20220920T143500,517013588222438416275220,20221002T080001,20221002T181254,415,378,95,259
80330,15,217,SC,ASCURRA,1104,1759490,7315FA8F,20220920T115300,115373133205741815505532,20221002T080001,20221002T171645,407,349,37,276
80390,56,422,SC,BALNEÁRIO CAMBORIÚ,1252,1775661,1652D0F2,20220917T184100,142215861136838546105968,20221002T080614,20221002T170730,86,79,85,305
80390,56,423,SC,BALNEÁRIO CAMBORIÚ,1252,1098186,1652D0F2,20220917T175400,192720024841072482878285,20221002T080001,20221002T170118,79,77,105,277
80390,56,424,SC,BALNEÁRIO CAMBORIÚ,1252,1143441,1652D0F2,20220917T180100,091710037731428780038830,20221002T080001,20221002T170117,95,88,115,273
80390,56,425,SC,BALNEÁRIO CAMBORIÚ,1252,1105949,1652D0F2,20220917T180700,243225297346998153062929,20221002T080001,20221002T170532,99,90,115,269
80390,56,426,SC,BALNEÁRIO CAMBORIÚ,1252,1081749,1652D0F2,20220917T181300,101811269032662197729704,20221002T080315,20221002T170328,101,93,89,280
80390,56,427,SC,BALNEÁRIO CAMBORIÚ,1252,1095095,1652D0F2,20220917T181900,162417431338144905719276,20221002T080754,20221002T170718,72,68,97,270
80390,56,428,SC,BALNEÁRIO CAMBORIÚ,1252,1144942,1652D0F2,20220917T182600,667467048788526250239949,20221002T081534,20221002T172631,73,69,96,286
80390,56,429,SC,BALNEÁRIO CAMBORIÚ,1252,1174785,1652D0F2,20220917T183200,920093410314598418620763,20221002T080001,20221002T170506,82,80,113,277
80438,32,18,SC,BENEDITO NOVO,1147,1824366,66C99DEF,20220920T134500,194062148383094425156261,20221002T080001,20221002T183622,386,322,43,252
80535,44,109,SC,BRAÇO DO NORTE,1171,1781786,6AA19894,20220917T133700,868758943295338106269446,20221002T080001,20221002T170252,385,340,53,259
80535,44,11,SC,BRAÇO DO NORTE,1031,1166216,E7C0485E,20220917T103100,626334807736347822076357,20221002T080001,20221002T175051,398,343,38,278
80535,44,12,SC,BRAÇO DO NORTE,1040,1771458,E7C0485E,20220917T103800,828354118156033095929981,20221002T080001,20221002T170043,331,288,11,255
80535,44,13,SC,BRAÇO DO NORTE,1040,1222951,E7C0485E,20220917T111700,646536045438718199082303,20221002T080001,20221002T170815,332,291,13,251
80535,44,6,SC,BRAÇO DO NORTE,1015,1830583,E7C0485E,20220917T095800,454617119319767366226058,20221002T080001,20221002T170507,382,321,54,250
